"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0,0,0,0,0,0,0,0,0,0.838285982608795,1.77134001255035,16.7826690673828,12.3692302703857,18.0836296081543,34.4895896911621,156.332794189453,0,0,92.5478134155273,32.6343803405762,
1,0,3.142172575,0,21.42338562,0,3.444756269,0,1.747906208,0,7.622539043,1.73091375827789,0.991754770278931,17.3804054260254,10.5679302215576,20.2320079803467,35.2193565368652,156.520706176758,0,0,87.8647918701172,27.2929706573486,
2,0,6.002492428,0,26.53914833,0,3.596897125,0,1.825722933,0,9.134303093,3.54921936988831,0.75631183385849,17.8125438690186,9.07257747650146,22.1533088684082,36.081226348877,156.626480102539,0,0,83.4368591308594,22.9649028778076,
3,0,8.713532448,0,24.10600853,0,3.123292208,0,1.824192286,0,9.099293709,4.90158176422119,0.648768663406372,19.4217624664307,7.82011270523071,23.8641548156738,37.073184967041,156.681488037109,0,0,79.2498168945313,19.9339981079102,
4,0,11.30264187,0,22.91156578,0,2.92399621,0,1.8333354,0,9.312164307,5.25320291519165,0.596997380256653,18.9194393157959,6.73917531967163,25.3800868988037,38.0226173400879,156.700775146484,0,0,75.290657043457,16.8283958435059,
5,0,13.78524399,0,22.29741478,0,2.838421822,0,1.846116543,0,9.6254673,5.39133024215698,0.573667466640472,18.2062015533447,5.82072973251343,26.715648651123,38.9077606201172,156.694061279297,0,0,71.5471496582031,14.2321662902832,
6,0,16.17371368,0,22.00438499,0,2.809354782,0,1.859798551,0,9.982608795,5.44657135009766,0.564438939094543,17.3688335418701,5.04130125045776,27.8844413757324,39.7227973937988,156.667617797852,0,0,68.0077743530273,12.0645627975464,
7,0,18.47540092,0,21.90704346,0,2.81152916,0,1.873253703,0,10.35726643,5.47598838806152,0.562079846858978,16.4691123962402,4.38054084777832,28.89919090271,40.469066619873,156.625854492188,0,0,64.6616516113281,10.2565212249756,
8,0,20.69384575,0,21.93591881,0,2.832095861,0,1.886024952,0,10.73552704,5.50390148162842,0.562971174716949,15.5511083602905,3.82094597816467,29.7717933654785,41.1510276794434,156.571990966797,0,0,61.498477935791,8.749587059021,
9,0,22.83403206,0,22.0490303,0,2.863901615,0,1.897973776,0,11.1100502,5.53956174850464,0.565317153930664,14.645866394043,3.34751796722412,30.5133686065674,41.7743110656738,156.508529663086,0,0,58.5085029602051,7.49453639984131,
10,0,24.9026165,0,22.2198143,0,2.902758121,0,1.909110069,0,11.47719574,5.58538484573364,0.568239808082581,13.7747163772583,2.94743514060974,31.1343078613281,42.3447952270508,156.437454223633,0,0,55.6825065612793,6.45003366470337,
11,0,26.90119362,0,22.43028259,0,2.945990324,0,1.919475794,0,11.83433723,5.64084434509277,0.571318507194519,12.9517059326172,2.60975003242493,31.6443195343018,42.8681526184082,156.360366821289,0,0,53.0117530822754,5.58142852783203,
12,0,28.83336449,0,22.66810417,0,2.991898298,0,1.929146767,0,12.18033314,5.70431661605835,0.574359178543091,12.1854476928711,2.32512187957764,32.0524597167969,43.3496627807617,156.278610229492,0,0,50.4879722595215,4.85970735549927,
13,0,30.70248032,0,22.92458916,0,3.039351463,0,1.93820262,0,12.51469803,5.77395153045654,0.577279925346375,11.4805278778076,2.08558773994446,32.3671913146973,43.7941284179688,156.193252563477,0,0,48.1033363342285,4.26059436798096,
14,0,32.50944138,0,23.19313049,0,3.087527037,0,1.946706772,0,12.83694649,5.84801816940308,0.580052375793457,10.8385887145996,1.88436150550842,32.5964012145996,44.2058639526367,156.105224609375,0,0,45.8504219055176,3.76379227638245,
15,0,34.25955582,0,23.46949005,0,3.135957241,0,1.954738498,0,13.14765453,5.92505741119385,0.582673728466034,10.2591609954834,1.71566307544708,32.7474479675293,44.5887336730957,156.01530456543,0,0,43.7221946716309,3.35233640670776,
16,0,35.95344925,0,23.74993134,0,3.184219599,0,1.962345719,0,13.44675064,6.00390100479126,0.585152626037598,9.74029922485352,1.57457137107849,32.8271865844727,44.9461669921875,155.924133300781,0,0,41.7120056152344,3.01205325126648,
17,0,37.59169388,0,24.03157234,0,3.231997252,0,1.969570637,0,13.73427391,6.08360242843628,0.587500035762787,9.27905654907227,1.45689511299133,32.8420066833496,45.281192779541,155.832244873047,0,0,39.813533782959,2.73110198974609,
18,0,39.17928314,0,24.31293297,0,3.279185534,0,1.976468086,0,14.01111603,6.16345024108887,0.589728951454163,8.87186050415039,1.35906803607941,32.7978477478027,45.5964851379395,155.74006652832,0,0,38.020809173584,2.49959540367126,
