"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0,0,0,0,0,0,0,0,0,0.424210011959076,1.83139503002167,16.1489791870117,13.3245601654053,11.2340497970581,7.94500780105591,90.7861862182617,79.4905395507813,27.1307506561279,0,0,
1,2.240464687,0,10.92451763,0,2.446186304,0,1.057765603,0,2.407914162,0,0.45173242688179,0.972324430942535,16.2292079925537,11.368992805481,13.2479724884033,8.92375087738037,91.0481262207031,75.4724273681641,22.6670455932617,0,0,
2,4.16336298,0,17.21512413,0,3.582863092,0,1.405476213,0,4.135943413,0,0.72420859336853,0.664312779903412,16.154842376709,9.71956825256348,15.0608215332031,9.85957527160645,91.2112808227539,71.6668701171875,19.0257835388184,0,0,
3,5.962234974,0,17.56683922,0,3.670856237,0,1.467810392,0,4.570573807,0,0.976197481155396,0.546567857265472,15.8751974105835,8.32270812988281,16.6868686676025,10.7531719207764,91.3172225952148,68.0621109008789,16.0211563110352,0,0,
4,7.672421455,0,17.89322281,0,3.775629282,0,1.521362543,0,4.992401123,0,1.15297102928162,0.498374849557877,15.3929977416992,7.13558387756348,18.1394748687744,11.5977821350098,91.3844604492188,64.6475448608398,13.5196104049683,0,0,
5,9.311715126,0,18.2029171,0,3.886603355,0,1.567825317,0,5.403249264,0,1.28141248226166,0.482744187116623,14.7803726196289,6.12714958190918,19.4311618804932,12.3906555175781,91.4238815307617,61.4131813049316,11.4372434616089,0,0,
6,10.89041138,0,18.49914742,0,3.998995304,0,1.608406544,0,5.803852558,0,1.37829065322876,0.481926918029785,14.0918216705322,5.27095317840576,20.5736618041992,13.1315689086914,91.4423904418945,58.3496131896973,9.70416927337646,0,0,
7,12.42028999,0,18.78454971,0,4.110821724,0,1.644158006,0,6.195919037,0,1.45420002937317,0.487473964691162,13.3679342269897,4.54445362091064,21.5779666900635,13.8218631744385,91.4447021484375,55.4479484558105,8.2621545791626,0,0,
8,13.900877,0,19.05926704,0,4.220489502,0,1.67569983,0,6.578401089,0,1.5158805847168,0.495409816503525,12.6383819580078,3.92843890190125,22.4543704986572,14.4638223648071,91.4342346191406,52.6997833251953,7.06267213821411,0,0,
9,15.34065819,0,19.32500648,0,4.327720642,0,1.703747153,0,6.952784061,0,1.56766057014465,0.503906548023224,11.9243488311768,3.40653347969055,23.212516784668,15.060248374939,91.4136276245117,50.0971488952637,6.06527471542358,0,0,
10,16.73975182,0,19.58193588,0,4.4319911,0,1.72874856,0,7.31856823,0,1.61236274242401,0.512166440486908,11.2404727935791,2.96478199958801,23.8614292144775,15.6141939163208,91.3849639892578,47.6325035095215,5.23625564575195,0,0,
11,18.10026169,0,19.83055115,0,4.533139229,0,1.751127005,0,7.675869942,0,1.65183484554291,0.519869923591614,10.5963678359985,2.59128594398499,24.409553527832,16.128776550293,91.3499221801758,45.2986793518066,4.54751873016357,0,0,
12,19.42874718,0,20.07217598,0,4.631464958,0,1.77131021,0,8.026080132,0,1.68733251094818,0.526927709579468,9.99786281585693,2.27590918540955,24.8647918701172,16.6070690155029,91.3098983764648,43.0889091491699,3.97565078735352,0,0,
13,20.72171974,0,20.30627632,0,4.726603508,0,1.789518714,0,8.368002892,0,1.71971154212952,0.533347070217133,9.44794082641602,2.01001143455505,25.2345314025879,17.0520248413086,91.2660446166992,40.9967613220215,3.50113964080811,0,0,
14,21.98516655,0,20.53404045,0,4.818943024,0,1.806072474,0,8.702997208,0,1.74956750869751,0.539173483848572,8.94749164581299,1.78622794151306,25.5256805419922,17.4664363861084,91.2193145751953,39.0161399841309,3.10772180557251,0,0,
15,23.21765327,0,20.75530624,0,4.908358097,0,1.821152687,0,9.030499458,0,1.77733480930328,0.544468283653259,8.49590396881104,1.59828400611877,25.7446899414063,17.8529033660889,91.1705169677734,37.1412658691406,2.78184413909912,0,0,
16,24.4200325,0,20.97031403,0,4.994915485,0,1.834944844,0,9.350583076,0,1.80332267284393,0.549289584159851,8.0915002822876,1.44082844257355,25.8975887298584,18.2138271331787,91.1203002929688,35.3666496276855,2.51221013069153,0,0,
17,25.59540939,0,21.17969513,0,5.078854084,0,1.847633958,0,9.663944244,0,1.8277735710144,0.553694665431976,7.73190069198608,1.30930292606354,25.9900054931641,18.5514144897461,91.0692138671875,33.6870956420898,2.28940606117249,0,0,
18,26.74440193,0,21.38365173,0,5.160245419,0,1.859354496,0,9.970647812,0,1.8508825302124,0.557736098766327,7.4142894744873,1.19982481002808,26.0271892547607,18.86767578125,91.0177307128906,32.0976753234863,2.10558843612671,0,0,
19,27.86756706,0,21.5823307,0,5.239159107,0,1.870221972,0,10.27074814,0,1.87280201911926,0.561459004878998,7.13560247421265,1.10908496379852,26.0140380859375,19.1644382476807,90.9662170410156,30.5937099456787,1.95422112941742,0,0,
20,28.96772766,0,21.77630043,0,5.315824509,0,1.880359054,0,10.56492901,0,1.89366185665131,0.564903795719147,6.89268159866333,1.03426539897919,25.955114364624,19.4433555603027,90.9149780273438,29.170768737793,1.82985842227936,0,0,
21,30.04065132,0,21.9648819,0,5.389986992,0,1.889810085,0,10.85199356,0,1.91356039047241,0.568103075027466,6.6823673248291,0.972961723804474,25.8546733856201,19.7059211730957,90.8642654418945,27.8246383666992,1.7279599905014,0,0,
22,31.09139061,0,22.14901543,0,5.462035656,0,1.898693323,0,11.13324833,0,1.93257975578308,0.571085512638092,6.50158357620239,0.923124730587006,25.7166748046875,19.9534778594971,90.8142929077148,26.5513210296631,1.64474260807037,0,0,
23,32.12029266,0,22.32880974,0,5.532026768,0,1.907072663,0,11.40873814,0,1.95080471038818,0.573879063129425,6.34740400314331,0.883013486862183,25.5448036193848,20.1872367858887,90.7652206420898,25.347038269043,1.57705724239349,0,0,
24,33.12765884,0,22.5043602,0,5.600018024,0,1.915004611,0,11.6785078,0,1.96830415725708,0.576506793498993,6.21706914901733,0.851144075393677,25.3424854278564,20.4082851409912,90.7171783447266,24.2081966400146,1.52227973937988,0,0,
25,34.1114769,0,22.67535973,0,5.665910244,0,1.922520876,0,11.94198895,0,1.98512947559357,0.578986644744873,6.10799789428711,0.826249420642853,25.1129055023193,20.6175994873047,90.6702728271484,23.1313877105713,1.47822165489197,0,0,
26,35.07660294,0,22.84270287,0,5.730063915,0,1.92969954,0,12.20045948,0,2.00133228302002,0.581336140632629,6.01781368255615,0.807252287864685,24.8590202331543,20.8160591125488,90.6245803833008,22.1133785247803,1.44306135177612,0,0,
27,36.02097321,0,23.00605202,0,5.79237318,0,1.936559916,0,12.45334625,0,2.01696300506592,0.583571076393127,5.94434547424316,0.793237447738647,24.5835742950439,21.0044536590576,90.5801696777344,21.15110206604,1.41528272628784,0,0,
28,36.94708252,0,23.1658802,0,5.853033543,0,1.943150997,0,12.70129967,0,2.03206324577332,0.585704624652863,5.88561534881592,0.783425033092499,24.2891101837158,21.1834926605225,90.5370788574219,20.2416553497314,1.39362299442291,0,0,
29,37.85057831,0,23.32146835,0,5.911792755,0,1.949468851,0,12.94314384,0,2.04666185379028,0.587746679782867,5.83982467651367,0.777148008346558,23.9779853820801,21.3538188934326,90.4953460693359,19.3822727203369,1.37702798843384,0,0,
30,38.73846817,0,23.47405434,0,5.969134331,0,1.955585241,0,13.18074226,0,2.06079125404358,0.589707255363464,5.80535888671875,0.773840546607971,23.6523818969727,21.5160102844238,90.4549789428711,18.5703372955322,1.36462140083313,0,0,
31,39.60863113,0,23.6232872,0,6.02494669,0,1.961505651,0,13.41351891,0,2.07449173927307,0.591597318649292,5.78078460693359,0.773025929927826,23.3143157958984,21.6705894470215,90.4159927368164,17.803373336792,1.35567700862885,0,0,
32,40.4589653,0,23.76884842,0,6.079124451,0,1.967232585,0,13.64090824,0,2.08778238296509,0.593422770500183,5.76480436325073,0.774292945861816,22.965648651123,21.8180294036865,90.3783950805664,17.0790252685547,1.34958600997925,0,0,
33,41.29412842,0,23.91155243,0,6.131988525,0,1.972812533,0,13.86415005,0,2.10068702697754,0.595190346240997,5.75626945495605,0.777293741703033,22.6080989837646,21.9587631225586,90.342170715332,16.395055770874,1.34584355354309,0,0,
34,42.10974121,0,24.05067062,0,6.183285236,0,1.978229046,0,14.0820713,0,2.11322569847107,0.596905589103699,5.75415849685669,0.781732201576233,22.2432518005371,22.0931797027588,90.3073196411133,15.7493448257446,1.34402894973755,0,0,
35,42.91042709,0,24.18700981,0,6.233328342,0,1.983523607,0,14.29590702,0,2.12541580200195,0.598573267459869,5.75756692886353,0.78735613822937,21.8725662231445,22.2216396331787,90.273811340332,15.1398801803589,1.34379196166992,0,0,
36,43.69630051,0,24.32061005,0,6.282145977,0,1.988706231,0,14.5056839,0,2.13728427886963,0.600199520587921,5.76570987701416,0.793955862522125,21.4973812103271,22.3444709777832,90.2416381835938,14.5647621154785,1.34484457969666,0,0,
37,44.46521378,0,24.45112038,0,6.329622746,0,1.993770838,0,14.7108326,0,2.14884543418884,0.601787745952606,5.77788686752319,0.801350474357605,21.1189270019531,22.4619770050049,90.2107849121094,14.0221824645996,1.34694528579712,0,0,
38,45.21950912,0,24.57895851,0,6.375925541,0,1.998739362,0,14.91197586,0,2.16011166572571,0.603340864181519,5.79348134994507,0.809385895729065,20.7383289337158,22.5744380950928,90.1812286376953,13.5104246139526,1.34989273548126,0,0,
39,45.95703888,0,24.70378685,0,6.420940399,0,2.003603458,0,15.10854912,0,2.17109417915344,0.604861199855804,5.81195259094238,0.817930996417999,20.3566188812256,22.6821117401123,90.1529541015625,13.0278577804565,1.35351991653442,0,0,
