"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0,0,0,0,0,0,0,0,0,0.955291986465454,2.52367401123047,24.9133396148682,17.835620880127,21.3829307556152,31.4963893890381,159.642303466797,90.8982315063477,42.0611801147461,0,0,
1,2.938259125,0,33.27618027,0,10.54217625,0,1.800126195,0,8.579842567,0,1.48628544807434,1.65652143955231,26.1632270812988,15.7699317932129,23.5449886322021,32.3602828979492,159.863891601563,86.6458358764648,35.7793197631836,0,0,
2,5.660464287,0,36.38195801,0,10.63272095,0,1.854421139,0,9.839460373,0,2.67390966415405,1.32076811790466,27.2363681793213,13.9912633895874,25.508695602417,33.2587928771973,160.010208129883,82.609504699707,30.6302280426025,0,0,
3,8.258412361,0,36.10711288,0,10.22540379,0,1.869477987,0,10.24970818,0,3.53231191635132,1.12953579425812,27.7735824584961,12.4297351837158,27.2868499755859,34.165210723877,160.103515625,78.7781066894531,26.282642364502,0,0,
4,10.75412178,0,36.08415604,0,10.07094669,0,1.886414886,0,10.74743366,0,4.13239717483521,1.01990866661072,27.8640174865723,11.056378364563,28.891508102417,35.0586433410645,160.157836914063,75.1413650512695,22.5991535186768,0,0,
5,13.15445423,0,36.18349457,0,10.03678036,0,1.903135061,0,11.27805519,0,4.56440544128418,0.958508789539337,27.6244277954102,9.84953022003174,30.3340454101563,35.9262084960938,160.1826171875,71.6895599365234,19.4798641204834,0,0,
6,15.46994019,0,36.34905624,0,10.06692028,0,1.919056654,0,11.81961727,0,4.88361787796021,0.925421893596649,27.1461868286133,8.78974628448486,31.6251792907715,36.7601203918457,160.184432983398,68.4134979248047,16.8393020629883,0,0,
7,17.70423317,0,36.55218887,0,10.13375092,0,1.934059858,0,12.36055851,0,5.12575769424438,0.908851027488709,26.5010890960693,7.85972738265991,32.7750129699707,37.5560111999512,160.168014526367,65.3044509887695,14.6046714782715,0,0,
8,19.86484718,0,36.77716827,0,10.2222414,0,1.948235393,0,12.89562988,0,5.31458330154419,0.901844084262848,25.7453765869141,7.04413986206055,33.7930679321289,38.3118095397949,160.136917114258,62.3541297912598,12.7141170501709,0,0,
9,21.9561348,0,37.01445007,0,10.32356739,0,1.961709738,0,13.42159176,0,5.46617126464844,0.900326669216156,24.922830581665,6.32942199707031,34.6883239746094,39.0270118713379,160.093856811523,59.5546684265137,11.1151313781738,0,0,
10,23.97715187,0,37.25746155,0,10.4320116,0,1.974586487,0,13.93540478,0,5.59149503707886,0.901920318603516,24.067195892334,5.70358371734619,35.4692344665527,39.7021789550781,160.041030883789,56.8985824584961,9.7631664276123,0,0,
11,25.93395615,0,37.50257492,0,10.5442028,0,1.987003207,0,14.43671799,0,5.6981029510498,0.905246675014496,23.204158782959,5.15603351593018,36.1437568664551,40.3385620117188,159.980224609375,54.3787612915039,8.62044715881348,0,0,
12,27.82991982,0,37.74724197,0,10.65786934,0,1.999064088,0,14.92511272,0,5.79122829437256,0.90951669216156,22.3529586791992,4.6774263381958,36.7193908691406,40.9378662109375,159.912887573242,51.9884452819824,7.65495157241821,0,0,
13,29.66583633,0,37.98942947,0,10.7713623,0,2.010838985,0,15.39987183,0,5.8745002746582,0.914282023906708,21.5276737213135,4.25951385498047,37.2031936645508,41.5020599365234,159.840255737305,49.7212028503418,6.83953809738159,0,0,
14,31.44478035,0,38.22801208,0,10.88368607,0,2.022395611,0,15.86114311,0,5.95044040679932,0.919291496276855,20.7382888793945,3.8950183391571,37.6018028259277,42.0332374572754,159.763412475586,47.570915222168,6.15120458602905,0,0,
15,33.16732025,0,38.46193314,0,10.99403,0,2.033771515,0,16.30859756,0,6.02080535888672,0.924407124519348,19.991548538208,3.57751893997192,37.9214630126953,42.5335540771484,159.683258056641,45.5317726135254,5.57045936584473,0,0,
16,34.83873367,0,38.69107437,0,11.10213184,0,2.045023918,0,16.74326706,0,6.086829662323,0.929556548595428,19.2916698455811,3.30135583877563,38.1680526733398,43.0051345825195,159.600555419922,43.5982475280762,5.08078956604004,0,0,
17,36.45704651,0,38.91453934,0,11.20742989,0,2.056151628,0,17.16438866,0,6.14937782287598,0.934702455997467,18.640905380249,3.06153750419617,38.3470916748047,43.4500579833984,159.515975952148,41.7650756835938,4.66820430755615,0,0,
18,38.0274086,0,39.13254929,0,11.30994987,0,2.0671947,0,17.57312584,0,6.20905590057373,0.939826667308807,18.0400009155273,2.85366320610046,38.4637680053711,43.8703079223633,159.430145263672,40.0272598266602,4.32085227966309,0,0,
19,39.55013275,0,39.34479523,0,11.40948391,0,2.078154564,0,17.9694252,0,6.26630210876465,0.944922029972076,17.4885711669922,2.67385601997375,38.5229568481445,44.267765045166,159.343505859375,38.3800430297852,4.02869462966919,0,0,
20,41.02549744,0,39.55102539,0,11.50589275,0,2.089025974,0,18.35326958,0,6.32141637802124,0.949984312057495,16.9853839874268,2.51869583129883,38.5292358398438,44.6441841125488,159.25651550293,36.8189010620117,3.78322720527649,0,0,
21,42.45613861,0,39.75140762,0,11.59923935,0,2.099819422,0,18.72528839,0,6.37461471557617,0.955011487007141,16.5286045074463,2.38516902923584,38.4869003295898,45.0012092590332,159.169540405273,35.339527130127,3.57724714279175,0,0,
22,43.84465408,0,39.9461441,0,11.68961525,0,2.110542059,0,19.08611107,0,6.42606496810913,0.960003793239594,16.11598777771,2.27062249183655,38.3999786376953,45.3403625488281,159.082885742188,33.9378280639648,3.40465664863586,0,0,
23,45.19124603,0,40.13512802,0,11.77698135,0,2.121181488,0,19.43576431,0,6.47589254379272,0.964961111545563,15.7450218200684,2.17271876335144,38.2722549438477,45.6630477905273,158.996841430664,32.6099166870117,3.26029014587402,0,0,
24,46.49845505,0,40.31863022,0,11.86147499,0,2.131742954,0,19.77489853,0,6.52419376373291,0.969882547855377,15.4130411148071,2.08939957618713,38.1072731018066,45.9705505371094,158.91162109375,31.3520908355713,3.13977479934692,0,0,
25,47.76644135,0,40.4966011,0,11.94308853,0,2.142212391,0,20.10354996,0,6.571044921875,0.974766790866852,15.1173114776611,2.01885223388672,37.9083480834961,46.2640571594238,158.827438354492,30.1608371734619,3.03940796852112,0,0,
26,48.9953537,0,40.66900253,0,12.02182961,0,2.152573824,0,20.42175865,0,6.61649751663208,0.979610323905945,14.855094909668,1.95947790145874,37.6785888671875,46.5446395874023,158.74446105957,29.0328006744385,2.95605325698853,0,0,
27,50.19005203,0,40.83648682,0,12.09800911,0,2.162852287,0,20.73079681,0,6.66060924530029,0.984411776065826,14.6237163543701,1.90987265110016,37.4209060668945,46.8132820129395,158.662811279297,27.9648017883301,2.88705706596375,0,0,
28,51.34828568,0,40.99871063,0,12.17149734,0,2.173012495,0,21.03009415,0,6.70342922210693,0.989169418811798,14.4205856323242,1.86880075931549,37.1380195617676,47.070873260498,158.582626342773,26.9538192749023,2.83017373085022,0,0,
29,52.47253036,0,41.15600967,0,12.24246979,0,2.183060408,0,21.32030296,0,6.74499273300171,0.993879556655884,14.2432222366333,1.83517277240753,36.8324699401855,47.318229675293,158.503997802734,25.9969711303711,2.7835009098053,0,0,
30,53.56288147,0,41.30837631,0,12.31093979,0,2.192981005,0,21.60146904,0,6.78533601760864,0.99853903055191,14.0892763137817,1.80803072452545,36.5066337585449,47.556079864502,158.426986694336,25.0915184020996,2.7454297542572,0,0,
31,54.61942291,0,41.45582581,0,12.37694263,0,2.202759504,0,21.87362862,0,6.82448434829712,1.00314331054688,13.9565362930298,1.78653013706207,36.1627311706543,47.7850952148438,158.351669311523,24.2348537445068,2.71459674835205,0,0,
32,55.64696503,0,41.59901047,0,12.44079208,0,2.212425947,0,22.13803673,0,6.86247587203979,1.00769102573395,13.8429441452026,1.76993179321289,35.8028297424316,48.0058746337891,158.278106689453,23.424503326416,2.68985104560852,0,0,
33,56.64556885,0,41.73796844,0,12.5025177,0,2.221968651,0,22.39473343,0,6.89936113357544,1.01218318939209,13.7465972900391,1.75758934020996,35.4288558959961,48.2189636230469,158.206314086914,22.6581249237061,2.67022085189819,0,0,
34,57.61294937,0,41.87236023,0,12.56199837,0,2.231351852,0,22.64315033,0,6.93516492843628,1.01661586761475,13.6657266616821,1.74893021583557,35.0426063537598,48.4248657226563,158.136322021484,21.933479309082,2.65488147735596,0,0,
35,58.5538826,0,42.0028801,0,12.61955452,0,2.240609884,0,22.88453293,0,6.96991682052612,1.02098667621613,13.598705291748,1.74345242977142,34.645751953125,48.6240196228027,158.068161010742,21.2484397888184,2.64313650131226,0,0,
36,59.46605682,0,42.12920761,0,12.67505932,0,2.249707699,0,23.1183033,0,7.00364923477173,1.02529406547546,13.5440473556519,1.74071633815765,34.2398490905762,48.8168334960938,158.001831054688,20.6009864807129,2.63439798355103,0,0,
37,60.34954453,0,42.25135803,0,12.72854233,0,2.258635044,0,23.3445034,0,7.03637504577637,1.02953290939331,13.5003805160522,1.74033153057098,33.826343536377,49.0036811828613,157.93733215332,19.9891910552979,2.62816619873047,0,0,
38,61.21143341,0,42.37033463,0,12.78046131,0,2.267452478,0,23.56496239,0,7.06813669204712,1.03370499610901,13.4664745330811,1.74196195602417,33.4065704345703,49.1848907470703,157.87467956543,19.4112281799316,2.62402272224426,0,0,
39,62.04473114,0,42.48516464,0,12.83040237,0,2.276079416,0,23.77790833,0,7.09896421432495,1.03780925273895,13.4412069320679,1.74531161785126,32.9817733764648,49.3607635498047,157.813858032227,18.8653678894043,2.62161374092102,0,0,
40,62.85650635,0,42.59685898,0,12.87881756,0,2.284579039,0,23.98516655,0,7.1288800239563,1.04184365272522,13.4235572814941,1.75011944770813,32.5531044006348,49.5315780639648,157.754852294922,18.3499565124512,2.62063932418823,0,0,
41,63.64210892,0,42.70476913,0,12.92544746,0,2.292893887,0,24.18556213,0,7.15791177749634,1.04580724239349,13.4126062393188,1.75615811347961,32.1216278076172,49.6975860595703,157.697647094727,17.8634223937988,2.62084746360779,0,0,
42,64.40628052,0,42.80955887,0,12.9705925,0,2.301065683,0,24.38032341,0,7.18608045578003,1.04969847202301,13.4075222015381,1.76322734355927,31.6883201599121,49.8590087890625,157.642227172852,17.404275894165,2.62202429771423,0,0,
43,65.14904022,0,42.91126633,0,13.01426792,0,2.309087515,0,24.56946754,0,7.21342182159424,1.05351912975311,13.407567024231,1.77115595340729,31.254093170166,50.0160636901855,157.588577270508,16.9711036682129,2.6239926815033,0,0,
44,65.87041473,0,43.00987244,0,13.05649662,0,2.316952229,0,24.75301361,0,7.23996353149414,1.05726945400238,13.4120740890503,1.7797931432724,30.8197765350342,50.1689414978027,157.536666870117,16.5625610351563,2.62660241127014,0,0,
45,66.57043457,0,43.10541534,0,13.09729099,0,2.324653387,0,24.9309845,0,7.26572465896606,1.06094789505005,13.4204435348511,1.78900599479675,30.3861389160156,50.3178176879883,157.486465454102,16.1773662567139,2.62972593307495,0,0,
46,67.24913788,0,43.19789886,0,13.13667107,0,2.332184315,0,25.10339928,0,7.29072189331055,1.06455266475677,13.4321346282959,1.79867768287659,29.9538822174072,50.4628524780273,157.437942504883,15.8143033981323,2.63325619697571,0,0,
