"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0,0,0,0,0,0,0,0,0,0.719201028347015,2.39841508865356,20.6377296447754,16.4288692474365,16.6438999176025,22.7168006896973,124.348899841309,92.046012878418,26.8523406982422,0,0,
1,1.486390114,0,2.209119797,0,2.135153055,0,0.4852797687,0,0.8091273308,0,0.66046929359436,1.45932424068451,20.6069641113281,14.4961633682251,18.9876461029053,23.3950157165527,124.580223083496,87.7353820800781,22.7533569335938,0,0,
2,3.471614838,0,4.768937111,0,3.292249203,0,0.8502107263,0,1.710071087,0,0.837423026561737,0.986171960830688,20.2888813018799,12.7987852096558,21.1256942749023,24.0307922363281,124.720336914063,83.6344680786133,19.304105758667,0,0,
3,5.662439346,0,7.165073395,0,4.185512543,0,1.120351553,0,2.656540155,0,1.11604595184326,0.767299950122833,19.7777404785156,11.3096046447754,23.0708713531494,24.6326351165771,124.804061889648,79.7350082397461,16.4060325622559,0,0,
4,7.969429493,0,9.365831375,0,4.923907757,0,1.320564747,0,3.620970726,0,1.43438112735748,0.682730317115784,19.1404457092285,10.0043640136719,24.8353481292725,25.2053833007813,124.851432800293,76.0282592773438,13.9731006622314,0,0,
5,10.34293175,0,11.37308025,0,5.555330276,0,1.469688535,0,4.584549904,0,1.75799798965454,0.665881872177124,18.427827835083,8.8614616394043,26.4306545257568,25.7519016265869,124.874084472656,72.5056076049805,11.9322957992554,0,0,
6,12.75034618,0,13.19720364,0,6.106624603,0,1.581597567,0,5.53442955,0,2.06829619407654,0.680604934692383,17.6783065795898,7.86169910430908,27.8676929473877,26.2740020751953,124.878921508789,69.1586380004883,10.2218351364136,0,0,
7,15.16841125,0,14.85105896,0,6.594875336,0,1.666422606,0,6.461961746,0,2.35609865188599,0.70786190032959,16.9205379486084,6.98804664611816,29.1567764282227,26.7729816436768,124.870193481445,65.9792327880859,8.78950214385986,0,0,
8,17.57971382,0,16.34796143,0,7.031855106,0,1.731538296,0,7.361477375,0,2.61780285835266,0.738086462020874,16.1754741668701,6.22541999816895,30.3076496124268,27.2499084472656,124.850685119629,62.9595336914063,7.59119367599487,0,0,
9,19.97084618,0,17.70090294,0,7.426129818,0,1.78230679,0,8.229422569,0,2.8530113697052,0.766843557357788,15.4580211639404,5.56047058105469,31.3295078277588,27.7057781219482,124.822326660156,60.0919952392578,6.5896782875061,0,0,
10,22.33129883,0,18.92222023,0,7.78418541,0,1.822626829,0,9.063743591,0,3.063068151474,0.792394042015076,14.7783489227295,4.98139953613281,32.2310371398926,28.1415863037109,124.786605834961,57.3693809509277,5.75354385375977,0,0,
11,24.652771,0,20.02347374,0,8.111084938,0,1.855332136,0,9.863454819,0,3.25016570091248,0.814348757266998,14.1429615020752,4.47778367996216,33.0204238891602,28.558349609375,124.744705200195,54.7847366333008,5.05629682540894,0,0,
12,26.92868042,0,21.01541328,0,8.410876274,0,1.882481694,0,10.6283226,0,3.41681218147278,0.832940459251404,13.5555515289307,4.04042387008667,33.7053985595703,28.9571056365967,124.697647094727,52.331413269043,4.47560358047485,0,0,
