"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0,0,0,0,0,0,0,0,0,0.552254021167755,0.981262028217316,6.51864290237427,5.81710290908813,3.98099207878113,7.1859769821167,58.7380981445313,0,0,30.8280906677246,11.8304901123047,
1,0,1.409036756,0,2.491099119,0,0.2490047961,0,0.9317042828,0,1.963665009,0.104333497583866,0.0587590448558331,5.64053344726563,4.24151086807251,4.615234375,7.81488370895386,59.0416717529297,0,0,28.7880744934082,9.20970439910889,
2,0,2.823385477,0,4.025112152,0,0.3945089281,0,1.177155614,0,2.901432037,0.0951847359538078,0.0206179060041904,4.86508131027222,3.10517168045044,5.14384937286377,8.30212688446045,59.1573333740234,0,0,26.8924789428711,7.18926763534546,
3,0,4.190317154,0,5.199656963,0,0.5084726214,0,1.320687652,0,3.621661186,0.117637827992439,0.021875312551856,4.18915462493896,2.2840461730957,5.57862186431885,8.70964622497559,59.2269554138184,0,0,25.1315898895264,5.62995290756226,
4,0,5.499883175,0,6.144153595,0,0.6031607389,0,1.417587519,0,4.216223717,0.138011321425438,0.0239431448280811,3.61155390739441,1.6911209821701,5.93021059036255,9.05313682556152,59.2672576904297,0,0,23.4961338043213,4.42664194107056,
5,0,6.748981953,0,6.923026085,0,0.6841928959,0,1.488036394,0,4.724071503,0.154639065265656,0.0254444107413292,3.1263473033905,1.26353335380554,6.20824384689331,9.34323596954346,59.2867393493652,0,0,21.977409362793,3.49843740463257,
6,0,7.937159538,0,7.575667858,0,0.754817307,0,1.541722655,0,5.166760921,0.168454200029373,0.0265563167631626,2.72468209266663,0.955745041370392,6.42140817642212,9.58917999267578,59.2915878295898,0,0,20.5672855377197,2.78288459777832,
7,0,9.065253258,0,8.128819466,0,0.8171527982,0,1.584017396,0,5.557965755,0.180207043886185,0.0274135023355484,2.39641785621643,0.73473584651947,6.57753229141235,9.79892063140869,59.2863311767578,0,0,19.2581672668457,2.23170638084412,
8,0,10.13479328,0,8.601810455,0,0.8726887107,0,1.618183017,0,5.907115459,0.19038724899292,0.0280948653817177,2.13124656677246,0.576554298400879,6.68366432189941,9.97912788391113,59.2742729187012,0,0,18.0429744720459,1.8075635433197,
9,0,11.14770603,0,9.009207726,0,0.9225271344,0,1.646331429,0,6.221101284,0.199323385953903,0.0286492723971605,1.91937637329102,0.463824898004532,6.74614191055298,10.1352863311768,59.2577705383301,0,0,16.9151039123535,1.48156929016113,
10,0,12.29003048,0,8.994715691,0,0.9494413137,0,1.666525602,0,6.463234901,0.206086128950119,0.0290807168930769,1.74773705005646,0.383791387081146,6.7706561088562,10.2701511383057,59.238395690918,0,0,15.8689994812012,1.22978568077087,
11,0,13.08491898,0,9.16356945,0,0.9831812382,0,1.682762146,0,6.66940403,0.211356207728386,0.0294065568596125,1.60778737068176,0.327165305614471,6.76233100891113,10.3862409591675,59.2172088623047,0,0,14.898533821106,1.03467500209808,
12,0,13.84022999,0,9.335731506,0,1.01524961,0,1.697422385,0,6.865245342,0.216635003685951,0.0296808239072561,1.49689996242523,0.287409394979477,6.72574329376221,10.4873495101929,59.1950340270996,0,0,13.9974403381348,0.884437322616577,
13,0,14.55793476,0,9.508765221,0,1.045674086,0,1.710686088,0,7.051059246,0.221653908491135,0.0299276504665613,1.41040527820587,0.259859502315521,6.66495943069458,10.5762643814087,59.1724815368652,0,0,13.1608686447144,0.769109427928925,
14,0,15.24275684,0,9.681645393,0,1.074623942,0,1.722762346,0,7.227964401,0.226398527622223,0.0301515236496925,1.34414649009705,0.241125628352165,6.58361434936523,10.6552028656006,59.1499862670898,0,0,12.3843116760254,0.680929005146027,
15,0,15.8929739,0,9.852208138,0,1.102009416,0,1.733727574,0,7.395466805,0.23087765276432,0.030355067923665,1.29450035095215,0.228742435574532,6.48495006561279,10.7259378433228,59.1278419494629,0,0,11.6635694503784,0.613846898078918,
