"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0,0,0,0,0,0,0,0,0,0.432076007127762,2.17048811912537,17.5648097991943,14.221079826355,14.5282697677612,10.0314903259277,103.464996337891,83.2158889770508,27.6716899871826,0,0,
1,3.439033031,0,16.52302742,0,3.463598013,0,1.358594179,0,3.841902018,0,0.591069221496582,1.37499845027924,18.090877532959,12.5063791275024,16.6456298828125,10.8720121383667,103.654655456543,79.2824478149414,23.4659080505371,0,0,
2,6.355385303,0,17.64229012,0,3.693571568,0,1.48059988,0,4.666856766,0,1.00830698013306,1.05360341072083,18.4364280700684,11.0209550857544,18.5739212036133,11.6982088088989,103.773651123047,75.5493621826172,19.993989944458,0,0,
3,9.049921989,0,18.15361214,0,3.868404627,0,1.560710192,0,5.337260246,0,1.34577238559723,0.887209296226501,18.4630317687988,9.72296333312988,20.3253517150879,12.5027084350586,103.845848083496,72.005500793457,17.0671558380127,0,0,
4,11.58769035,0,18.62942505,0,4.049703598,0,1.625118494,0,5.982115746,0,1.61756694316864,0.804742336273193,18.2481307983398,8.588791847229,21.91139793396,13.2801561355591,103.885559082031,68.6410598754883,14.5980081558228,0,0,
5,13.99615192,0,19.07689476,0,4.227573872,0,1.677633047,0,6.603104591,0,1.83912873268127,0.768049955368042,17.8602676391602,7.59827709197998,23.342866897583,14.0272464752197,103.901802062988,65.4469146728516,12.51540184021,0,0,
6,16.29120636,0,19.49970436,0,4.398577213,0,1.720962167,0,7.201104641,0,2.02181696891785,0.755767345428467,17.3535461425781,6.7337212562561,24.629940032959,14.7421779632568,103.900459289551,62.4144554138184,10.7592525482178,0,0,
7,18.48810768,0,19.90120888,0,4.561897755,0,1.757182717,0,7.777987003,0,2.17418789863586,0.756035208702087,16.7703094482422,5.97959327697754,25.7822093963623,15.4242506027222,103.885551452637,59.5355606079102,9.27881336212158,0,0,
8,20.59640694,0,20.28363419,0,4.717410088,0,1.787812114,0,8.334821701,0,2.3027663230896,0.762357175350189,16.1433753967285,5.32226705551147,26.8087120056152,16.0735683441162,103.859962463379,56.8025436401367,8.03121566772461,0,0,
9,22.62134743,0,20.64836311,0,4.8651824,0,1.813981652,0,8.871964455,0,2.41254138946533,0.77123749256134,15.4978561401367,4.74978160858154,27.7179584503174,16.6908016204834,103.825836181641,54.2081108093262,6.98024463653564,0,0,
10,24.56932449,0,20.99695015,0,5.005614758,0,1.836598277,0,9.390361786,0,2.50734806060791,0.780851483345032,14.852668762207,4.25163745880127,28.5179634094238,17.2770195007324,103.784866333008,51.7453422546387,6.09530591964722,0,0,
11,26.44585228,0,21.33072281,0,5.139160633,0,1.856370211,0,9.890922546,0,2.59015703201294,0.790297627449036,14.2217836380005,3.81862235069275,29.216272354126,17.8335494995117,103.738403320313,49.4076805114746,5.35055303573608,0,0,
12,28.25344276,0,21.65043831,0,5.266119957,0,1.873832107,0,10.37390804,0,2.6632719039917,0.799171507358551,13.6152353286743,3.44265031814575,29.8199901580811,18.3618755340576,103.687561035156,47.1888847351074,4.72415065765381,0,0,
13,29.99650574,0,21.95713425,0,5.386947632,0,1.889429212,0,10.84018135,0,2.72848701477051,0.807330727577209,13.0399494171143,3.11662554740906,30.3358001708984,18.8635654449463,103.633270263672,45.0830307006836,4.19765186309814,0,0,
14,31.6813755,0,22.25217056,0,5.502236366,0,1.903534651,0,11.29120922,0,2.78722333908081,0.81476891040802,12.5004262924194,2.83432579040527,30.7699947357178,19.3402156829834,103.57633972168,43.0844993591309,3.75547623634338,0,0,
15,33.30715561,0,22.53558922,0,5.612077236,0,1.916392207,0,11.72657776,0,2.84059619903564,0.821538984775543,11.9992752075195,2.59029150009155,31.1284847259521,19.7934093475342,103.517433166504,41.1879501342773,3.38446235656738,0,0,
16,34.8773613,0,22.80818748,0,5.716859341,0,1.928232074,0,12.1471014,0,2.88947892189026,0.827715516090393,11.5376434326172,2.37972927093506,31.4168357849121,20.2246875762939,103.457153320313,39.3882942199707,3.07348966598511,0,0,
17,36.39533234,0,23.07070351,0,5.816946983,0,1.939239264,0,12.55358219,0,2.93457436561584,0.833379626274109,11.1155910491943,2.19843697547913,31.6402740478516,20.6355247497559,103.39599609375,37.6807060241699,2.81316566467285,0,0,
18,37.86194611,0,23.3234272,0,5.912529469,0,1.949547648,0,12.94618607,0,2.97644209861755,0.838607370853424,10.7323617935181,2.04272794723511,31.8037147521973,21.0273246765137,103.334403991699,36.0606002807617,2.59555721282959,0,0,
19,39.28026581,0,23.56700897,0,6.003929138,0,1.959279299,0,13.32568836,0,3.01553320884705,0.84346616268158,10.3866119384766,1.90936851501465,31.9117679595947,21.4014110565186,103.272750854492,34.523609161377,2.41396331787109,0,0,
20,40.65322495,0,23.80207062,0,6.091451168,0,1.968534112,0,13.69284344,0,3.05221962928772,0.848015367984772,10.0765962600708,1.79552578926086,31.9687728881836,21.7590141296387,103.211349487305,33.0655899047852,2.26272630691528,0,0,
21,41.98140717,0,24.02878952,0,6.175234318,0,1.977378488,0,14.04778671,0,3.08680319786072,0.852304458618164,9.80030059814453,1.69871544837952,31.9787902832031,22.1012802124023,103.150482177734,31.6826038360596,2.13706803321838,0,0,
22,43.26535416,0,24.24736977,0,6.255412579,0,1.985865474,0,14.39066029,0,3.11952424049377,0.856372952461243,9.5555419921875,1.61675715446472,31.9456386566162,22.4292697906494,103.090385437012,30.3708972930908,2.03295159339905,0,0,
23,44.51000977,0,24.45872116,0,6.332380295,0,1.994065881,0,14.72278214,0,3.15058875083923,0.860254883766174,9.34006881713867,1.54774212837219,31.872896194458,22.7439575195313,103.031242370605,29.1269130706787,1.94697034358978,0,0,
24,45.71354675,0,24.66259384,0,6.406107426,0,2.001996756,0,15.04366302,0,3.18016791343689,0.863978326320648,9.15161895751953,1.48999798297882,31.7639198303223,23.0462417602539,102.97322845459,27.9472618103027,1.87624800205231,0,0,
25,46.87856674,0,24.85950089,0,6.476829529,0,2.009697199,0,15.35400963,0,3.20839858055115,0.867564260959625,8.98795413970947,1.44205665588379,31.6218509674072,23.3369426727295,102.916481018066,26.8287239074707,1.818354845047,0,0,
26,48.00764084,0,25.04992294,0,6.544770718,0,2.017200708,0,15.65451813,0,3.23540329933167,0.871031582355499,8.84691905975342,1.40263509750366,31.4496307373047,23.6168117523193,102.861114501953,25.7682399749756,1.77124190330505,0,0,
27,49.1010437,0,25.23396111,0,6.610011101,0,2.024520397,0,15.94527245,0,3.26128745079041,0.874395549297333,8.72644805908203,1.37060987949371,31.2500190734863,23.8865356445313,102.807228088379,24.7629013061523,1.73318004608154,0,0,
28,50.15905762,0,25.41171646,0,6.672626495,0,2.031666517,0,16.22636986,0,3.2861340045929,0.877667009830475,8.62458038330078,1.34499526023865,31.0255908966064,24.1467380523682,102.754898071289,23.8099365234375,1.7027086019516,0,0,
29,51.18413544,0,25.58363342,0,6.73281908,0,2.038659811,0,16.49847031,0,3.31001663208008,0.880855083465576,8.539475440979,1.32492864131927,30.7787570953369,24.3979892730713,102.704177856445,22.906717300415,1.67859601974487,0,0,
30,52.17870331,0,25.75015068,0,6.790774822,0,2.045520067,0,16.76223755,0,3.3330066204071,0.883968770503998,8.46942615509033,1.30965840816498,30.5117721557617,24.6408100128174,102.655120849609,22.0507469177246,1.65980494022369,0,0,
31,53.14074707,0,25.91096115,0,6.846425533,0,2.052233696,0,17.01715088,0,3.35516047477722,0.887013792991638,8.41284561157227,1.29852509498596,30.2267360687256,24.8756713867188,102.607765197754,21.2396469116211,1.64545953273773,0,0,
32,54.07265854,0,26.06650352,0,6.899953842,0,2.058816195,0,17.26386642,0,3.37652254104614,0.889993727207184,8.36826515197754,1.29095017910004,29.9256153106689,25.1030006408691,102.562133789063,20.4711532592773,1.63482022285461,0,0,
33,54.97679901,0,26.21720123,0,6.951530933,0,2.065282583,0,17.50302505,0,3.39714121818542,0.892913341522217,8.33434677124023,1.28643119335175,29.6102390289307,25.3231945037842,102.518241882324,19.7431201934814,1.62726557254791,0,0,
34,55.85330582,0,26.36309624,0,7.001202583,0,2.071631193,0,17.73467827,0,3.41706085205078,0.895776629447937,8.30986881256104,1.28452980518341,29.2823143005371,25.5366077423096,102.476089477539,19.0535106658936,1.62227320671082,0,0,
35,56.70232391,0,26.50424004,0,7.04901123,0,2.077859402,0,17.95887756,0,3.43631553649902,0.898585498332977,8.29371643066406,1.28486168384552,28.9434280395508,25.7435703277588,102.435684204102,18.4003810882568,1.61940145492554,0,0,
36,57.52397919,0,26.64066315,0,7.094993591,0,2.083963633,0,18.17567635,0,3.45493197441101,0.90134060382843,8.28487110137939,1.28708970546722,28.5950584411621,25.9443817138672,102.397033691406,17.7818832397461,1.61827754974365,0,0,
37,58.32056427,0,26.77277756,0,7.139307976,0,2.089956522,0,18.3856926,0,3.47293758392334,0.904042959213257,8.28241539001465,1.29092061519623,28.2385787963867,26.1393127441406,102.360107421875,17.1962604522705,1.6185884475708,0,0,
38,59.09437943,0,26.90098572,0,7.182111263,0,2.095851183,0,18.58954811,0,3.49036598205566,0.906695604324341,8.28553295135498,1.29610252380371,27.8752670288086,26.3286190032959,102.324897766113,16.6418495178223,1.62007367610931,0,0,
39,59.84332657,0,27.02492905,0,7.223305225,0,2.101626396,0,18.7867012,0,3.50724291801453,0.909299552440643,8.29348373413086,1.30241441726685,27.5063076019287,26.5125293731689,102.291389465332,16.1170673370361,1.62251305580139,0,0,
40,60.56967926,0,27.14502335,0,7.263043404,0,2.107295275,0,18.97776604,0,3.52358770370483,0.911854565143585,8.30560111999512,1.30966234207153,27.1327972412109,26.6912612915039,102.259559631348,15.6204042434692,1.62572073936462,0,0,
41,61.27351761,0,27.26129341,0,7.30134964,0,2.112853527,0,19.16277313,0,3.53942155838013,0.914361536502838,8.32129001617432,1.31767928600311,26.7557506561279,26.8650093078613,102.229385375977,15.1504287719727,1.6295417547226,0,0,
42,61.95708466,0,27.37410355,0,7.338366032,0,2.118313789,0,19.34232712,0,3.55476665496826,0.916821479797363,8.34002304077148,1.32632088661194,26.376106262207,27.0339584350586,102.200843811035,14.7057828903198,1.63384687900543,0,0,
43,62.61828995,0,27.48313141,0,7.373997211,0,2.123655081,0,19.51588821,0,3.56963992118835,0.919234395027161,8.36132621765137,1.33546090126038,25.9947338104248,27.198278427124,102.173904418945,14.2851734161377,1.63852727413177,0,0,
44,63.25936127,0,27.58875275,0,7.408380032,0,2.128890276,0,19.68405151,0,3.58405351638794,0.921599447727203,8.38477420806885,1.34498858451843,25.6124305725098,27.3581275939941,102.148529052734,13.8873682022095,1.64349114894867,0,0,
45,63.88252258,0,27.69135857,0,7.441651821,0,2.134033203,0,19.84741592,0,3.59802937507629,0.923918604850769,8.41000175476074,1.35481202602386,25.2299327850342,27.5136585235596,102.124694824219,13.5112009048462,1.6486644744873,0,0,
46,64.48566437,0,27.79057503,0,7.473711014,0,2.139062166,0,20.00542641,0,3.61158418655396,0.926192402839661,8.43668270111084,1.36485052108765,24.8479175567627,27.6650085449219,102.102378845215,13.1555652618408,1.65398454666138,0,0,
47,65.07099915,0,27.8868103,0,7.504694462,0,2.143991709,0,20.15868378,0,3.62472915649414,0.928420305252075,8.46452331542969,1.37503361701965,24.4670085906982,27.8123111724854,102.081550598145,12.8194036483765,1.65939891338348,0,0,
48,65.63857269,0,27.98004913,0,7.534611225,0,2.148817778,0,20.30720139,0,3.63748002052307,0.93060314655304,8.49327087402344,1.38530194759369,24.0877704620361,27.9556884765625,102.062156677246,12.5017156600952,1.66486489772797,0,0,
49,66.18842316,0,28.07032585,0,7.563479424,0,2.153537035,0,20.4509964,0,3.64984726905823,0.93274050951004,8.5226993560791,1.3956036567688,23.7107238769531,28.0952587127686,102.04418182373,12.2015466690063,1.67034649848938,0,0,
