"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0,0,0,0,0,0,0,0,0,0.797565996646881,1.13127398490906,9.28155422210693,8.27222442626953,7.69612503051758,7.01448392868042,62.4510307312012,54.6607093811035,14.1948795318604,0,0,
1,3.10273385,0,6.882369041,0,1.211910009,0,0.8312856555,0,1.654451132,0,0.270560503005981,0.203393325209618,8.20849895477295,6.28625535964966,8.85240364074707,7.93757486343384,62.810546875,51.2610511779785,11.2672729492188,0,0,
2,5.46160078,0,6.769182205,0,1.329855084,0,0.958389461,0,2.052072287,0,0.198083102703094,0.0788470655679703,7.25649452209473,4.78636837005615,9.83414459228516,8.68399238586426,62.982666015625,48.0911827087402,8.97947978973389,0,0,
3,7.551899433,0,6.977203846,0,1.470698237,0,1.075536489,0,2.476419687,0,0.194394916296005,0.0651096180081367,6.36428546905518,3.65082836151123,10.6591930389404,9.30748653411865,63.0848007202148,45.133487701416,7.16882562637329,0,0,
4,9.464409828,0,7.282755852,0,1.608826041,0,1.176507115,0,2.898523331,0,0.208215415477753,0.0685222074389458,5.55855560302734,2.79198002815247,11.34375,9.83375835418701,63.1466293334961,42.3732795715332,5.73772716522217,0,0,
5,11.23991203,0,7.625487328,0,1.739966512,0,1.26282227,0,3.311569214,0,0.225171402096748,0.073898658156395,4.84878253936768,2.14314317703247,11.9025554656982,10.2792730331421,63.1808166503906,39.7972183227539,4.6076865196228,0,0,
6,12.90255642,0,7.981714725,0,1.86359632,0,1.336760044,0,3.71326685,0,0.241522580385208,0.0788941755890846,4.23521184921265,1.65366220474243,12.3490257263184,10.6567354202271,63.1952743530273,37.393009185791,3.71619343757629,0,0,
7,14.46863556,0,8.340344429,0,1.980087996,0,1.400390029,0,4.102782726,0,0.256459951400757,0.0832436978816986,3.7128758430481,1.28506922721863,12.6953659057617,10.9766807556152,63.1956481933594,35.1492538452148,3.01361012458801,0,0,
8,15.95009232,0,8.695674896,0,2.090022802,0,1.455441833,0,4.479903698,0,0.269949465990067,0.0870024859905243,3.27403974533081,1.00815677642822,12.9526739120483,11.2480220794678,63.186092376709,33.0553512573242,2.46056842803955,0,0,
9,17.35388565,0,9.044045448,0,2.19382453,0,1.503255129,0,4.844114304,0,0.282132238149643,0.0902585685253143,2.90973353385925,0.800748705863953,13.1310329437256,11.4783067703247,63.1696929931641,31.1014270782471,2.02586245536804,0,0,
10,18.68994713,0,9.384365082,0,2.292223692,0,1.545075536,0,5.196295261,0,0.293178379535675,0.0930927470326424,2.61072564125061,0.646011233329773,13.239595413208,11.6739053726196,63.1487121582031,29.2782802581787,1.68476736545563,0,0,
11,19.96232986,0,9.715213776,0,2.385554552,0,1.581782818,0,5.536225319,0,0.303244233131409,0.0955727696418762,2.36810493469238,0.531167209148407,13.2866640090942,11.8401737213135,63.1248245239258,27.5773239135742,1.41770017147064,0,0,
12,21.17433739,0,10.03564548,0,2.474107504,0,1.61411047,0,5.86375761,0,0.312452048063278,0.097751148045063,2.17359137535095,0.44651535153389,13.279764175415,11.981593132019,63.0992431640625,25.990535736084,1.20914769172668,0,0,
13,22.33532143,0,10.34681892,0,2.558617353,0,1.642830372,0,6.180617809,0,0.320918500423431,0.0996751189231873,2.01972937583923,0.384696692228317,13.2257080078125,12.1019105911255,63.0728530883789,24.5104312896729,1.04683041572571,0,0,
14,23.44519234,0,10.64771175,0,2.639125109,0,1.668371677,0,6.486138821,0,0.328740775585175,0.101383239030838,1.89993262290955,0.340128630399704,13.130654335022,12.204252243042,63.0462799072266,23.1300239562988,0.921027898788452,0,0,
15,24.5079689,0,10.93863869,0,2.715970755,0,1.691196322,0,6.780896187,0,0.335990130901337,0.102904699742794,1.80845475196838,0.308572709560394,13.0001668930054,12.291220664978,63.0199699401855,21.8427772521973,0.824042439460754,0,0,
16,25.52734947,0,11.22000599,0,2.789460659,0,1.711690307,0,7.065482616,0,0.342734158039093,0.104266010224819,1.74036121368408,0.286815673112869,12.8392629623413,12.3649854660034,62.9942283630371,20.6425838470459,0.749783337116241,0,0,
17,26.5046196,0,11.49167538,0,2.85972333,0,1.730138898,0,7.339897156,0,0.349027901887894,0.105488769710064,1.69144916534424,0.272420406341553,12.6524629592896,12.4273548126221,62.9692573547363,19.523738861084,0.693430304527283,0,0,
18,27.44091797,0,11.75357533,0,2.926874638,0,1.746786714,0,7.604156971,0,0.354913264513016,0.106590107083321,1.65815949440002,0.263536721467972,12.4438323974609,12.4798383712769,62.9451789855957,18.4808959960938,0.651166498661041,0,0,
19,28.34358788,0,12.00743103,0,2.991467714,0,1.761947632,0,7.860084534,0,0.360438376665115,0.107587166130543,1.63752639293671,0.2587670981884,12.2170209884644,12.5237064361572,62.9220657348633,17.5090732574463,0.619977653026581,0,0,
20,29.20920372,0,12.25202847,0,3.053281784,0,1.77572,0,8.106502533,0,0.365640044212341,0.108493335545063,1.62707769870758,0.25705298781395,11.9752998352051,12.5600280761719,62.8999557495117,16.603609085083,0.597479999065399,0,0,
21,30.04271507,0,12.48855305,0,3.112690926,0,1.788318515,0,8.344640732,0,0.370544344186783,0.10931883752346,1.62475538253784,0.257590979337692,11.7215957641602,12.5897064208984,62.8788566589355,15.760142326355,0.581786215305328,0,0,
22,30.84267235,0,12.71640205,0,3.169610262,0,1.799836636,0,8.57393074,0,0.375177025794983,0.110073260962963,1.62886333465576,0.259773671627045,11.4585189819336,12.6135110855103,62.858757019043,14.9745903015137,0.571404993534088,0,0,
23,31.61587524,0,12.93736267,0,3.22454071,0,1.810469985,0,8.796196938,0,0.379565447568893,0.110765598714352,1.63801860809326,0.263144731521606,11.1883955001831,12.6321029663086,62.8396301269531,14.243145942688,0.565160751342773,0,0,
24,32.35866547,0,13.15027618,0,3.277236223,0,1.820251107,0,9.010280609,0,0.383731573820114,0.111403159797192,1.65109205245972,0.267360210418701,10.9132900238037,12.6460514068604,62.8214416503906,13.5622482299805,0.562125861644745,0,0,
25,33.07357025,0,13.35573196,0,3.327886105,0,1.829287767,0,9.216808319,0,0.387686043977737,0.111990764737129,1.66714715957642,0.27215701341629,10.6350317001343,12.6558494567871,62.8041458129883,12.9285545349121,0.56156325340271,0,0,
26,33.76303101,0,13.5543623,0,3.376677513,0,1.83767426,0,9.416410446,0,0.391447693109512,0.112534381449223,1.68543601036072,0.277340173721313,10.3552331924438,12.6619310379028,62.7877044677734,12.3389482498169,0.562894999980927,0,0,
27,34.42943573,0,13.74676323,0,3.423784494,0,1.845491529,0,9.609704971,0,0.395036190748215,0.113039508461952,1.7053656578064,0.282766401767731,10.0753135681152,12.6646823883057,62.7720718383789,11.7905216217041,0.565669000148773,0,0,
28,35.07106018,0,13.93238354,0,3.469097853,0,1.852766156,0,9.796138763,0,0.398462623357773,0.113509759306908,1.72645211219788,0.288327187299728,9.79651641845703,12.6644458770752,62.7572059631348,11.2805490493774,0.569527447223663,0,0,
29,35.69022369,0,14.11181927,0,3.512784004,0,1.859565377,0,9.976325989,0,0.401734918355942,0.113948173820972,1.74830198287964,0.293940365314484,9.51992416381836,12.661527633667,62.7430610656738,10.8064804077148,0.574187338352203,0,0,
30,36.28919601,0,14.28568745,0,3.555011749,0,1.865948558,0,10.15088844,0,0.404867321252823,0.114358484745026,1.77061295509338,0.299548238515854,9.24647521972656,12.6562070846558,62.7295951843262,10.3659362792969,0.579430043697357,0,0,
31,36.86618805,0,14.4534235,0,3.595659018,0,1.871927381,0,10.3192625,0,0.407867461442947,0.114743135869503,1.79314041137695,0.305107265710831,8.97697830200195,12.6487379074097,62.7167663574219,9.95668983459473,0.585082650184631,0,0,
32,37.4234314,0,14.61563396,0,3.634889603,0,1.877552032,0,10.48206615,0,0.410740882158279,0.115104094147682,1.81568598747253,0.31058457493782,8.71212291717529,12.6393489837646,62.7045364379883,9.57665157318115,0.591008424758911,0,0,
33,37.96110916,0,14.77235031,0,3.67271924,0,1.882848024,0,10.63932419,0,0.41349583864212,0.115443646907806,1.83809840679169,0.315957635641098,8.45249366760254,12.6282510757446,62.6928672790527,9.22387409210205,0.597102046012878,0,0,
34,38.48339081,0,14.92474461,0,3.709445477,0,1.887875795,0,10.79222775,0,0.416144281625748,0.115764379501343,1.8602728843689,0.321214020252228,8.19858169555664,12.6156415939331,62.6817245483398,8.89654159545898,0.603285372257233,0,0,
35,38.98642731,0,15.07168484,0,3.744799376,0,1.892615914,0,10.93963051,0,0.418691843748093,0.116067752242088,1.88212490081787,0.326344341039658,7.95078945159912,12.6017045974731,62.6710777282715,8.59295463562012,0.609496653079987,0,0,
36,39.47237396,0,15.21375179,0,3.778936863,0,1.897104859,0,11.08213902,0,0.421138346195221,0.116354435682297,1.90357720851898,0.331339567899704,7.7094464302063,12.5866050720215,62.6609039306641,8.31151485443115,0.615684688091278,0,0,
37,39.94333267,0,15.35157776,0,3.812008142,0,1.901375532,0,11.2203598,0,0.423492819070816,0.116626344621181,1.92458581924438,0.336197376251221,7.47481060028076,12.570499420166,62.6511650085449,8.05073642730713,0.62181431055069,0,0,
38,40.39744186,0,15.48456573,0,3.843882322,0,1.905423164,0,11.35372448,0,0.4257592856884,0.116884484887123,1.94511485099792,0.340916126966476,7.2470817565918,12.5535316467285,62.6418342590332,7.80922651290894,0.627857625484467,0,0,
39,40.83876419,0,15.61391258,0,3.87485075,0,1.909294128,0,11.48341751,0,0.427943706512451,0.117130115628242,1.96514439582825,0.345496982336044,7.02640342712402,12.5358381271362,62.6328926086426,7.58568859100342,0.633795380592346,0,0,
40,41.26542282,0,15.73904324,0,3.904778957,0,1.912981391,0,11.60887146,0,0.430052429437637,0.117364451289177,1.98466718196869,0.349943071603775,6.81287288665771,12.5175466537476,62.6243171691895,7.37891101837158,0.639614999294281,0,0,
41,41.67750931,0,15.85997009,0,3.933677435,0,1.916493535,0,11.73010349,0,0.432084798812866,0.117587722837925,2.00366830825806,0.354254752397537,6.60654354095459,12.4987726211548,62.6160888671875,7.18775367736816,0.645304083824158,0,0,
42,42.07706833,0,15.97729492,0,3.961690664,0,1.919855833,0,11.84770775,0,0.434045106172562,0.1178008466959,2.02214479446411,0.358434617519379,6.40743255615234,12.4796237945557,62.6081809997559,7.01115417480469,0.650855481624603,0,0,
43,42.46417999,0,16.09103394,0,3.988824368,0,1.923074841,0,11.96170139,0,0.435938805341721,0.118004761636257,2.04010343551636,0.362486928701401,6.21552276611328,12.4602031707764,62.6005859375,6.84812355041504,0.656266331672668,0,0,
44,42.83891296,0,16.20118332,0,4.01508522,0,1.926156759,0,12.07209301,0,0.437768220901489,0.118199966847897,2.05754899978638,0.366414994001389,6.03076934814453,12.4406042098999,62.5932769775391,6.69773483276367,0.661534368991852,0,0,
45,43.20133972,0,16.30776787,0,4.040479183,0,1.929107428,0,12.17889977,0,0.43953463435173,0.11838686466217,2.07448530197144,0.370221495628357,5.85310220718384,12.4209136962891,62.5862426757813,6.5591197013855,0.666657745838165,0,0,
46,43.55345917,0,16.4113636,0,4.065146923,0,1.931947231,0,12.28270531,0,0.441242456436157,0.118566192686558,2.09092450141907,0.373910695314407,5.68242979049683,12.4012098312378,62.5794715881348,6.43146991729736,0.671637952327728,0,0,
47,43.89532852,0,16.51198006,0,4.089092255,0,1.934680462,0,12.38352013,0,0.442896753549576,0.118738688528538,2.10688495635986,0.377488136291504,5.51864194869995,12.38157081604,62.5729446411133,6.3140344619751,0.676478505134583,0,0,
48,44.22699356,0,16.60963058,0,4.112319946,0,1.937310815,0,12.48135471,0,0.444499373435974,0.118904687464237,2.12238097190857,0.380958020687103,5.36161279678345,12.3620634078979,62.5666580200195,6.20611047744751,0.681182324886322,0,0,
49,44.54657364,0,16.70376205,0,4.134698391,0,1.939826488,0,12.57564926,0,0.446047991514206,0.119064025580883,2.13741493225098,0.384321540594101,5.21120309829712,12.3427505493164,62.5606002807617,6.10703182220459,0.685749471187592,0,0,
50,44.85797501,0,16.79550362,0,4.156502247,0,1.9422611,0,12.66755581,0,0.447545737028122,0.11921726167202,2.15199851989746,0.387581765651703,5.06726264953613,12.3236865997314,62.5547523498535,6.01618146896362,0.690182387828827,0,0,
51,45.16124725,0,16.88488007,0,4.177735329,0,1.944617271,0,12.75708008,0,0.44900044798851,0.119365401566029,2.16615748405457,0.390745490789413,4.92963266372681,12.3049278259277,62.5491180419922,5.93299245834351,0.694488108158112,0,0,
52,45.45255661,0,16.97076035,0,4.198127747,0,1.946867228,0,12.84309387,0,0.450407892465591,0.11950795352459,2.17989540100098,0.393813610076904,4.79814624786377,12.2865171432495,62.5436782836914,5.85692262649536,0.698667407035828,0,0,
