"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0,0,0,0,0,0,0,0,0,0.337397992610931,2.40510988235474,11.5642204284668,8.6755313873291,11.6799697875977,8.2121114730835,80.0192565917969,49.7116317749023,17.9513702392578,0,0,
1,0.8197860122,0,6.285238743,0,0.6428474784,0,0.6188157797,0,1.101211905,0,0.383438438177109,1.72597789764404,12.2586402893066,7.90672397613525,12.9622392654419,8.58353137969971,80.0700759887695,47.5633544921875,15.4657211303711,0,0,
2,1.870795488,0,9.574578285,0,0.9865208268,0,0.8994457126,0,1.860434771,0,0.579370617866516,1.35725212097168,12.8040075302124,7.21496343612671,14.1475524902344,8.95110607147217,80.0832977294922,45.5121536254883,13.3741455078125,0,0,
3,3.007537365,0,11.92636013,0,1.249296904,0,1.083808899,0,2.508860111,0,0.825424313545227,1.15447843074799,13.1937093734741,6.59131526947021,15.2411975860596,9.31668758392334,80.0728378295898,43.5545310974121,11.6026268005371,0,0,
4,4.187048435,0,13.70888996,0,1.464696288,0,1.216214776,0,3.081846237,0,1.08780252933502,1.04971015453339,13.4493465423584,6.02885675430298,16.2482318878174,9.68069458007813,80.0472717285156,41.6867332458496,10.0991153717041,0,0,
5,5.385948658,0,15.09446907,0,1.647481084,0,1.316148639,0,3.596244812,0,1.3491952419281,1.00316369533539,13.5934753417969,5.52151918411255,17.1734752655029,10.0428876876831,80.0120086669922,39.9050064086914,8.82143783569336,0,0,
6,6.589209557,0,16.18431473,0,1.805930138,0,1.394143701,0,4.062495232,0,1.6003190279007,0.990734875202179,13.6466627120972,5.06389999389648,18.021520614624,10.4027318954468,79.9704818725586,38.2056884765625,7.7346363067627,0,0,
7,7.786355495,0,17.04527473,0,1.945311308,0,1.456549764,0,4.487931252,0,1.83634686470032,0.997675538063049,13.6268329620361,4.65115928649902,18.7967376708984,10.759575843811,79.924934387207,36.5852012634277,6.80945587158203,0,0,
8,8.969749451,0,17.72478294,0,2.069251299,0,1.507470369,0,4.878089905,0,2.05506420135498,1.01497566699982,13.5492658615112,4.2789478302002,19.5032825469971,11.1127576828003,79.8768081665039,35.0401000976563,6.02128791809082,0,0,
9,10.13368511,0,18.25813675,0,2.180386066,0,1.549690247,0,5.237339973,0,2.25581812858582,1.03718614578247,13.4268131256104,3.94334864616394,20.1451072692871,11.4616527557373,79.8270721435547,33.5670471191406,5.34936618804932,0,0,
10,11.27384758,0,18.67250824,0,2.280708075,0,1.585170984,0,5.569238663,0,2.43888664245605,1.06107568740845,13.2701797485352,3.64083099365234,20.7259712219238,11.8057088851929,79.7763824462891,32.1628303527832,4.77613401412964,0,0,
11,12.93182564,0,17.45709038,0,2.644649982,0,1.60144496,0,5.732007027,0,2.61442637443542,1.08325672149658,13.0666151046753,3.36754941940308,21.2494411468506,12.1444158554077,79.7250747680664,30.825569152832,4.27940654754639,0,0,
12,13.84012318,0,17.51884651,0,2.688358307,0,1.621008992,0,5.937497616,0,2.77940464019775,1.10250234603882,12.8218822479248,3.12032055854797,21.7189445495605,12.4771537780762,79.6733169555664,29.5518531799316,3.84677886962891,0,0,
13,14.72249603,0,17.57990074,0,2.730996847,0,1.639129519,0,6.13828373,0,2.92284226417542,1.11992871761322,12.5631017684937,2.89699363708496,22.1377220153809,12.8032922744751,79.6213150024414,28.3372097015381,3.47536516189575,0,0,
14,15.57737064,0,17.6398716,0,2.772386074,0,1.655887961,0,6.333809376,0,3.04819512367249,1.13579142093658,12.2970333099365,2.69539165496826,22.5088005065918,13.1224012374878,79.5692825317383,27.1789665222168,3.15657877922058,0,0,
15,16.41077423,0,17.69897461,0,2.812745571,0,1.67150259,0,6.525290966,0,3.15833163261414,1.15029978752136,12.0290517807007,2.51353406906128,22.8350486755371,13.4342088699341,79.5173950195313,26.0745735168457,2.88303542137146,0,0,
16,17.22085953,0,17.75691795,0,2.851935625,0,1.686025262,0,6.712171078,0,3.2556369304657,1.16362762451172,11.7633810043335,2.34962058067322,23.1191940307617,13.7385702133179,79.4658126831055,25.021598815918,2.6483850479126,0,0,
17,18.00827789,0,17.81361389,0,2.889954567,0,1.699549913,0,6.894479752,0,3.34207558631897,1.17591106891632,11.5032815933228,2.20200872421265,23.3638229370117,14.0354375839233,79.414680480957,24.0177211761475,2.44716596603394,0,0,
18,18.77359962,0,17.8690033,0,2.926805735,0,1.71216023,0,7.072248459,0,3.41927790641785,1.18726360797882,11.2512264251709,2.06920313835144,23.5713863372803,14.3248414993286,79.3641357421875,23.0607166290283,2.27468085289001,0,0,
19,19.51984024,0,17.9232235,0,2.962620497,0,1.723970532,0,7.246091843,0,3.48860907554626,1.19778501987457,11.0090427398682,1.94984447956085,23.744213104248,14.6068677902222,79.3142776489258,22.1484642028809,2.12689089775085,0,0,
20,20.24741554,0,17.97624016,0,2.997409821,0,1.735043764,0,7.416032791,0,3.55121564865112,1.207563996315,10.7780303955078,1.84269785881042,23.8845100402832,14.8816480636597,79.2652053833008,21.2789440155029,2.00032448768616,0,0,
21,20.95422745,0,18.02784538,0,3.03106904,0,1.745401144,0,7.581516266,0,3.60804200172424,1.21667063236237,10.5590524673462,1.74663579463959,23.9943656921387,15.1493463516235,79.2170181274414,20.4502239227295,1.89199447631836,0,0,
22,21.6455822,0,18.07838631,0,3.063850403,0,1.755167127,0,7.743728638,0,3.65988636016846,1.22516965866089,10.3526277542114,1.6606342792511,24.0757656097412,15.4101486206055,79.1697845458984,19.6604557037354,1.7993335723877,0,0,
23,22.31684875,0,18.127491,0,3.09553504,0,1.764319062,0,7.901533604,0,3.70741605758667,1.2331166267395,10.1589946746826,1.58376121520996,24.1305885314941,15.6642570495605,79.1235733032227,18.9078769683838,1.72013413906097,0,0,
24,22.97322845,0,18.17551613,0,3.126374245,0,1.772966266,0,8.056109428,0,3.75119018554688,1.24055957794189,9.97816848754883,1.5151674747467,24.1606140136719,15.911883354187,79.0784378051758,18.1907997131348,1.65249741077423,0,0,
25,23.61252022,0,18.22227859,0,3.156267643,0,1.781113744,0,8.206903458,0,3.79168653488159,1.24754428863525,9.80999755859375,1.45408272743225,24.1675281524658,16.1532440185547,79.0344314575195,17.5076198577881,1.59479200839996,0,0,
26,24.23496246,0,18.26778221,0,3.185232878,0,1.788796544,0,8.353934288,0,3.82929873466492,1.25410664081573,9.65418720245361,1.39980280399323,24.1529273986816,16.3885517120361,78.9915924072266,16.8567943572998,1.54561400413513,0,0,
27,24.84561348,0,18.31237221,0,3.213511705,0,1.79610455,0,8.498368263,0,3.8643753528595,1.26028525829315,9.51035308837891,1.35169172286987,24.1183242797852,16.6180248260498,78.9499588012695,16.2368602752686,1.50375819206238,0,0,
28,25.437397,0,18.35553932,0,3.240782499,0,1.802978396,0,8.638506889,0,3.89720225334167,1.26610994338989,9.37803077697754,1.30916798114777,24.065149307251,16.841869354248,78.9095458984375,15.6464138031006,1.46818721294403,0,0,
29,26.01774216,0,18.39780998,0,3.267397165,0,1.809528351,0,8.776086807,0,3.92802143096924,1.27160692214966,9.25670337677002,1.27170181274414,23.9947547912598,17.0602931976318,78.8703842163086,15.0841112136841,1.43800914287567,0,0,
