"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0,0,0,0,0,0,0,0,0,0.715216994285584,0.962930023670197,6.46868181228638,5.76568984985352,4.95177602767944,4.75736904144287,51.893138885498,39.0777587890625,10.8833599090576,0,0,
1,2.842871904,0,6.514050484,0,1.152756572,0,0.791611433,0,1.541537285,0,0.0867727547883987,0.0283297151327133,5.52048444747925,4.15950632095337,5.75039529800415,5.56526947021484,52.2087898254395,36.4584846496582,8.45399475097656,0,0,
2,4.981721401,0,6.751060009,0,1.300587654,0,0.9312438965,0,1.962164164,0,0.0511051528155804,0.00791353080421686,4.74234580993652,3.00938248634338,6.41312026977539,6.17196607589722,52.3218383789063,34.0314674377441,6.60220003128052,0,0,
3,6.866731167,0,6.890626431,0,1.422834277,0,1.037671566,0,2.332330942,0,0.0533498078584671,0.00840783771127462,4.05523109436035,2.18361210823059,6.95555591583252,6.66773557662964,52.386360168457,31.7806854248047,5.17014646530151,0,0,
4,8.578856468,0,7.131284237,0,1.544257522,0,1.130712032,0,2.69976449,0,0.0582545958459377,0.00925163272768259,3.46378421783447,1.59133398532867,7.39169454574585,7.07628774642944,52.4195518493652,29.6929092407227,4.06307554244995,0,0,
5,10.15346241,0,7.410273552,0,1.659528375,0,1.210897803,0,3.056666851,0,0.0629660934209824,0.00999519508332014,2.96613478660584,1.16723001003265,7.73411655426025,7.41343975067139,52.4315071105957,27.7561702728271,3.2082085609436,0,0,
6,11.61838055,0,7.703976154,0,1.768074751,0,1.28023994,0,3.401835918,0,0.0672143772244453,0.0106374295428395,2.55472636222839,0.864208877086639,7.99413108825684,7.69195175170898,52.4292602539063,25.9595108032227,2.54882740974426,0,0,
7,12.98380852,0,7.99982357,0,1.869643211,0,1.340203047,0,3.733224154,0,0.0710204839706421,0.0111927846446633,2.21962547302246,0.648331224918365,8.18189811706543,7.92233419418335,52.4177436828613,24.2928352355957,2.04086542129517,0,0,
8,14.26600742,0,8.292878151,0,1.965027213,0,1.392477989,0,4.051831245,0,0.0744374319911003,0.0116747841238976,1.95030736923218,0.495141327381134,8.30653667449951,8.11322021484375,52.4004058837891,22.7468109130859,1.65013027191162,0,0,
9,15.47128296,0,8.579328537,0,2.054531097,0,1.438178658,0,4.357162952,0,0.0775198563933373,0.0120954606682062,1.73663353919983,0.387021660804749,8.37622547149658,8.27166652679443,52.3796463012695,21.3128051757813,1.35011291503906,0,0,
10,16.60683441,0,8.857374191,0,2.138635159,0,1.478321433,0,4.649509907,0,0.080310270190239,0.0124640036374331,1.56932842731476,0.31127867102623,8.39829254150391,8.40340900421143,52.3571090698242,19.9828090667725,1.12026512622833,0,0,
11,17.67873192,0,9.126056671,0,2.217785835,0,1.513744593,0,4.92926693,0,0.0828469321131706,0.0127883767709136,1.44020128250122,0.25876972079277,8.37929344177246,8.51309776306152,52.3339195251465,18.749397277832,0.944666922092438,0,0,
12,18.69223595,0,9.384955406,0,2.292392254,0,1.5451442,0,5.196903229,0,0.0851623639464378,0.0130751803517342,1.34219241142273,0.222910955548286,8.32508373260498,8.60449600219727,52.3108177185059,17.6056785583496,0.810986697673798,0,0,
13,19.65200043,0,9.633968353,0,2.362826109,0,1.573099017,0,5.452933311,0,0.0872841775417328,0.0133298952132463,1.26932513713837,0.198962524533272,8.24089241027832,8.68064594268799,52.2882957458496,16.5452575683594,0.709675133228302,0,0,
