"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0,0,0,0,0,0,0,0,0,0.665549993515015,2.08441591262817,14.0533800125122,11.1369304656982,18.1733207702637,27.1777992248535,114.307899475098,0,0,74.4146194458008,24.3635597229004,
1,0,0.3759335876,0,0.9480970502,0,0.1270881295,0,0.5567100048,0,0.9607141018,0.605135500431061,1.30842876434326,14.6228218078613,9.86891746520996,19.9426021575928,27.5649871826172,114.459335327148,0,0,70.9622421264648,20.6792068481445,
2,0,0.997738421,0,2.006253481,0,0.2410532534,0,0.8321724534,0,1.657031298,0.744288206100464,0.921592831611633,14.8348608016968,8.75309944152832,21.5520191192627,27.9274044036865,114.544731140137,0,0,67.6733856201172,17.5621509552002,
3,0,1.757460594,0,3.054777145,0,0.3467698097,0,1.024956822,0,2.285499573,0.980764269828796,0.733903348445892,14.7804384231567,7.77061796188354,23.0114078521729,28.2703704833984,114.589424133301,0,0,64.5417251586914,14.9269704818726,
4,0,2.615688324,0,4.068830967,0,0.4455750287,0,1.169978261,0,2.86938858,1.26862728595734,0.653508424758911,14.5315914154053,6.90574312210083,24.3301162719727,28.5970630645752,114.608024597168,0,0,61.5607452392578,12.7005004882813,
5,0,3.54836297,0,5.038163185,0,0.5382671952,0,1.28327024,0,3.41780138,1.58058941364288,0.630032062530518,14.1453275680542,6.1446852684021,25.5170097351074,28.9095134735107,114.609199523926,0,0,58.7240219116211,10.8204851150513,
6,0,4.538307667,0,5.95815897,0,0.6254251599,0,1.373977542,0,3.935595036,1.89987313747406,0.635578811168671,13.6664896011353,5.47529172897339,26.580493927002,29.2091121673584,114.598167419434,0,0,56.0252990722656,9.23402500152588,
7,0,5.572237492,0,6.827023983,0,0.7075095773,0,1.447919369,0,4.425886154,2.2161705493927,0.654800295829773,13.1300630569458,4.88683319091797,27.5285263061523,29.4969081878662,114.578201293945,0,0,53.4585075378418,7.89619922637939,
8,0,6.639385223,0,7.644574642,0,0.7849066257,0,1.509053588,0,4.890935421,2.52329087257385,0.679400682449341,12.5630550384521,4.36983060836792,28.3686389923096,29.7737560272217,114.551422119141,0,0,51.0177726745605,6.76888132095337,
9,0,7.730762482,0,8.411614418,0,0.8579505086,0,1.560195208,0,5.332529068,2.81769776344299,0.70503956079483,11.9860372543335,3.9159049987793,29.1079597473145,30.0404109954834,114.519302368164,0,0,48.697437286377,5.81971788406372,
