"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0,0,0,0,0,0,0,0,0,0.779770016670227,1.04264199733734,7.34769201278687,6.52203893661499,5.6181378364563,5.89394903182983,54.7211494445801,42.6624794006348,11.9404001235962,0,0,
1,2.003642559,0,4.599564075,0,0.8862646818,0,0.6014942527,0,1.061168194,0,0.189042866230011,0.1245042309165,6.41352558135986,4.85876703262329,6.51808071136475,6.67953968048096,55.0355110168457,39.9280776977539,9.39287853240967,0,0,
2,3.485626459,0,7.051649094,0,1.307730198,0,0.8675425053,0,1.76204896,0,0.118124179542065,0.0393415279686451,5.6138219833374,3.6272337436676,7.27639436721802,7.28636312484741,55.163257598877,37.3806381225586,7.42390966415405,0,0,
3,4.798592567,0,7.716153145,0,1.471462369,0,0.9798131585,0,2.12512517,0,0.12486194819212,0.0366594456136227,4.91073989868164,2.71447563171387,7.90809965133667,7.79186630249023,55.2368202209473,35.0059089660645,5.89192533493042,0,0,
4,6.002198219,0,8.240315437,0,1.608008385,0,1.068749189,0,2.450066805,0,0.137196078896523,0.0398907065391541,4.28918218612671,2.03760552406311,8.42678928375244,8.21618747711182,55.277774810791,32.7918968200684,4.69455242156982,0,0,
5,7.125780582,0,8.6810112,0,1.728202224,0,1.142606974,0,2.750161886,0,0.148763194680214,0.0430954769253731,3.75048303604126,1.53608930110931,8.84479331970215,8.57257175445557,55.2959861755371,30.7276649475098,3.75886154174805,0,0,
6,8.184223175,0,9.064530373,0,1.836957216,0,1.205538392,0,3.031489372,0,0.158922716975212,0.0458418466150761,3.29120779037476,1.16493904590607,9.17329406738281,8.8718090057373,55.2981376647949,28.8031177520752,3.02796936035156,0,0,
7,9.18461132,0,9.404860497,0,1.936781645,0,1.259942412,0,3.29688549,0,0.167868390679359,0.0481973439455032,2.90504789352417,0.890700280666351,9.42242622375488,9.12304401397705,55.2890968322754,27.008882522583,2.45739984512329,0,0,
8,10.14103889,0,9.7137146,0,2.030128002,0,1.307898521,0,3.550545216,0,0.175857573747635,0.0502478070557117,2.58431053161621,0.688496708869934,9.6013708114624,9.33403778076172,55.2724266052246,25.3362560272217,2.01235270500183,0,0,
9,11.05094337,0,9.994848251,0,2.11741662,0,1.350225091,0,3.792007446,0,0.183078229427338,0.0520533658564091,2.32086515426636,0.539825022220612,9.71843528747559,9.51131820678711,55.2507209777832,23.7771320343018,1.66557812690735,0,0,
10,11.92521572,0,10.25485706,0,2.200150251,0,1.388147235,0,4.024261951,0,0.189662680029869,0.0536564029753208,2.10675621032715,0.430921196937561,9.78113174438477,9.66033935546875,55.2258605957031,22.3239555358887,1.3957314491272,0,0,
11,12.7642746,0,10.49614811,0,2.278684139,0,1.422223806,0,4.247458458,0,0.195722714066505,0.0550927855074406,1.93458557128906,0.351551443338394,9.79624843597412,9.78564071655273,55.1992034912109,20.9696865081787,1.1860967874527,0,0,
12,13.57042694,0,10.72115231,0,2.35346961,0,1.452990651,0,4.462210655,0,0.201328054070473,0.05638562515378,1.79765856266022,0.294100880622864,9.76990795135498,9.89098072052002,55.1717147827148,19.7077503204346,1.02357399463654,0,0,
13,14.35004711,0,10.932971,0,2.425267696,0,1.481037974,0,4.670201778,0,0.206547155976295,0.0575571581721306,1.69008719921112,0.252909719944,9.70763111114502,9.97947025299072,55.1440734863281,18.5320262908936,0.897903919219971,0,0,
14,15.09793282,0,11.13126564,0,2.493735552,0,1.506472588,0,4.870018959,0,0.21142241358757,0.0586220286786556,1.60675644874573,0.223766013979912,9.61438751220703,10.0536708831787,55.1167449951172,17.4367828369141,0.801045477390289,0,0,
15,15.82427788,0,11.31959343,0,2.559905291,0,1.529883623,0,5.064354897,0,0.215995028614998,0.05959402769804,1.54330158233643,0.20353926718235,9.49464225769043,10.115701675415,55.0900459289551,16.4166793823242,0.726700842380524,0,0,
16,16.52355003,0,11.49720669,0,2.623354673,0,1.551292539,0,5.251700401,0,0.22030209004879,0.0604853592813015,1.49603998661041,0.189903616905212,9.35240650177002,10.1673183441162,55.0641822814941,15.4667301177979,0.669938623905182,0,0,
17,17.20106888,0,11.666049,0,2.68462944,0,1.571039438,0,5.433448792,0,0.224364534020424,0.0613036975264549,1.46187674999237,0.181127354502678,9.19127368927002,10.2099695205688,55.0392837524414,14.5822696685791,0.626892983913422,0,0,
18,17.85762596,0,11.82678604,0,2.743849754,0,1.589291215,0,5.609782696,0,0.228212833404541,0.0620587430894375,1.43825507164001,0.175927296280861,9.01445960998535,10.2448673248291,55.0154151916504,13.7589521408081,0.594540894031525,0,0,
19,18.49180412,0,11.97949409,0,2.800930262,0,1.606138587,0,5.780295849,0,0.231861889362335,0.0627560913562775,1.42305433750153,0.173347428441048,8.8248348236084,10.2730207443237,54.9926109313965,12.9927101135254,0.570512413978577,0,0,
