"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0,0,0,0,0,0,0,0,0,0.601273000240326,1.39566600322723,10.1452102661133,8.5170841217041,9.17522239685059,15.3090000152588,83.7000503540039,0,0,52.2436714172363,18.9580898284912,
1,0,1.175220609,0,1.666674018,0,0.2109871209,0,0.8084949255,0,1.588992238,0.427275478839874,0.571912705898285,9.90808868408203,6.99577569961548,10.3398971557617,15.8689756393433,83.9402694702148,0,0,49.3935394287109,15.5395164489746,
2,0,2.544045925,0,3.011902571,0,0.3572893441,0,1.085340619,0,2.51490593,0.514494121074677,0.328247636556625,9.48036193847656,5.75768423080444,11.3631792068481,16.3657512664795,84.0680160522461,0,0,46.7074317932129,12.7524671554565,
3,0,3.961764336,0,4.173819065,0,0.4797166586,0,1.256819844,0,3.281039238,0.661902010440826,0.263820141553879,8.93845653533936,4.74862957000732,12.2566833496094,16.8150691986084,84.1424942016602,0,0,44.1771774291992,10.4805126190186,
4,0,5.389636517,0,5.196633339,0,0.5862687826,0,1.376044512,0,3.948385,0.817561388015747,0.25712987780571,8.34009456634521,3.92646455764771,13.031231880188,17.2240257263184,84.1868438720703,0,0,41.7944564819336,8.62909507751465,
5,0,6.807855129,0,6.106241226,0,0.6808407903,0,1.464120865,0,4.543280602,0.96378892660141,0.267077654600143,7.72610473632813,3.25696182250977,13.6968860626221,17.5967807769775,84.211311340332,0,0,39.551212310791,7.12106657028198,
6,0,8.204471588,0,6.920627117,0,0.7658016682,0,1.531796694,0,5.08070755,1.09564709663391,0.280166745185852,7.12437057495117,2.71220326423645,14.2629919052124,17.9365768432617,84.2212753295898,0,0,37.4397201538086,5.89342021942139,
7,0,9.571722031,0,7.653384686,0,0.8427680731,0,1.585298777,0,5.570489883,1.2129693031311,0.292356163263321,6.55309391021729,2.26938033103943,14.7382230758667,18.2463970184326,84.2201080322266,0,0,35.4526176452637,4.89467906951904,
8,0,10.90438461,0,8.315310478,0,0.9129243493,0,1.628538132,0,6.019646168,1.31718933582306,0.302739888429642,6.02335739135742,1.90984523296356,15.1306209564209,18.5291481018066,84.2102737426758,0,0,33.5829010009766,4.08278131484985,
9,0,12.19892311,0,8.915253639,0,0.977180481,0,1.664111972,0,6.433490753,1.41009163856506,0.311369270086288,5.54109477996826,1.61834585666656,15.4476404190063,18.7876491546631,84.1936721801758,0,0,31.8239154815674,3.42335534095764,
10,0,13.452981,0,9.460625648,0,1.036260128,0,1.693819046,0,6.816210747,1.49335527420044,0.318527668714523,5.10859489440918,1.3824051618576,15.6961812973022,19.0245876312256,84.1718368530273,0,0,30.1693592071533,2.88831567764282,
11,0,14.66505718,0,9.957725525,0,1.090753555,0,1.71894455,0,7.171207428,1.56841814517975,0.324506640434265,4.72563171386719,1.19181537628174,15.8826313018799,19.242467880249,84.1460189819336,0,0,28.6132583618164,2.45471477508545,
12,0,16.11435127,0,9.911619186,0,1.111306429,0,1.737353802,0,7.452379704,1.62892496585846,0.329364538192749,4.38394546508789,1.03802466392517,16.0128974914551,19.4420337677002,84.1171646118164,0,0,27.1508693695068,2.10152792930603,
13,0,17.05250931,0,10.17041016,0,1.150533319,0,1.752142787,0,7.692829132,1.67736828327179,0.33318093419075,4.07932710647583,0.913961708545685,16.0924644470215,19.6240501403809,84.0859909057617,0,0,25.776180267334,1.81313812732697,
14,0,17.9607563,0,10.43098831,0,1.188206911,0,1.76561594,0,7.924369335,1.72338354587555,0.336310178041458,3.81401658058167,0.814090311527252,16.1263790130615,19.7908325195313,84.053108215332,0,0,24.4826278686523,1.57923078536987,
15,0,18.83769798,0,10.69109917,0,1.22426331,0,1.777892113,0,8.146662712,1.76716923713684,0.339030802249908,3.5853750705719,0.733996331691742,16.1192493438721,19.9444255828857,84.0190658569336,0,0,23.2655830383301,1.38996589183807,
16,0,19.68762016,0,10.95051289,0,1.258881807,0,1.789151669,0,8.360845566,1.8088800907135,0.341465175151825,3.39040279388428,0.670060813426971,16.0753288269043,20.0866260528564,83.9843063354492,0,0,22.1206703186035,1.23726999759674,
17,0,20.51165199,0,11.20838451,0,1.292117357,0,1.79951036,0,8.567275047,1.84867739677429,0.343677014112473,3.22596788406372,0.619320094585419,15.9985361099243,20.2190055847168,83.9492111206055,0,0,21.0437812805176,1.11452436447144,
18,0,21.31079292,0,11.46402931,0,1.324025393,0,1.809067845,0,8.766278267,1.88668847084045,0.345703125,3.08894181251526,0.579344987869263,15.8924856185913,20.342924118042,83.9140701293945,0,0,20.0310287475586,1.01629877090454,
19,0,22.08591843,0,11.71689606,0,1.354656696,0,1.817909718,0,8.958162308,1.92302048206329,0.347568452358246,2.97629880905151,0.548144578933716,15.7604990005493,20.4595603942871,83.8791198730469,0,0,19.0787506103516,0.938139319419861,
20,0,22.83781624,0,11.96653366,0,1.384062171,0,1.826110959,0,9.143215179,1.95776605606079,0.349291980266571,2.88518023490906,0.52408766746521,15.6056356430054,20.5699234008789,83.8445434570313,0,0,18.1834907531738,0.876392245292664,
21,0,23.5699501,0,12.21349049,0,1.412394404,0,1.833764076,0,9.322368622,1.99103677272797,0.350890904664993,2.81294703483582,0.505840480327606,15.4307041168213,20.6748809814453,83.8105010986328,0,0,17.3419933319092,0.828064560890198,
22,0,24.28015137,0,12.4565239,0,1.439589977,0,1.840894818,0,9.495178223,2.02292132377625,0.352378815412521,2.75718092918396,0.492310702800751,15.2382822036743,20.7751712799072,83.7770919799805,0,0,16.5511837005615,0.790700972080231,
23,0,24.97444725,0,12.69727516,0,1.465896606,0,1.847604394,0,9.663187981,2.05352067947388,0.353768408298492,2.71570563316345,0.482606381177902,15.0307331085205,20.871431350708,83.7444000244141,0,0,15.8081684112549,0.762291789054871,
24,0,25.64783669,0,12.93362808,0,1.491144419,0,1.853880167,0,9.825263023,2.08291339874268,0.355069726705551,2.68656611442566,0.47599720954895,14.8102226257324,20.9641990661621,83.7125015258789,0,0,15.1102180480957,0.741188406944275,
25,0,26.30349922,0,13.16633606,0,1.51546967,0,1.859784842,0,9.982240677,2.11113500595093,0.356289565563202,2.66800498962402,0.471882730722427,14.5787315368652,21.0539245605469,83.6814422607422,0,0,14.4547433853149,0.726033806800842,
26,0,26.94183159,0,13.39525795,0,1.538906813,0,1.865349889,0,10.1342907,2.13825416564941,0.357436180114746,2.65847992897034,0.469774276018143,14.3380689620972,21.1409931182861,83.651252746582,0,0,13.8393096923828,0.715719103813171,
27,0,27.56318855,0,13.62023735,0,1.561486363,0,1.870603323,0,10.28155994,2.16432642936707,0.358516216278076,2.65663242340088,0.469272166490555,14.0898838043213,21.2257251739502,83.6219635009766,0,0,13.2616176605225,0.709334492683411,
28,0,28.16791725,0,13.84117222,0,1.583238125,0,1.87556982,0,10.42419624,2.18939971923828,0.359535276889801,2.6612708568573,0.470049649477005,13.8356800079346,21.3083915710449,83.5935897827148,0,0,12.7194948196411,0.706133306026459,
29,0,28.75895691,0,14.05891514,0,1.604282141,0,1.880292177,0,10.56294727,2.21354031562805,0.3604995906353,2.67136883735657,0.471842229366302,13.5768241882324,21.3892230987549,83.5661392211914,0,0,12.2109003067017,0.705507338047028,
30,0,29.3339386,0,14.27241516,0,1.624550581,0,1.884768486,0,10.69730949,2.23679900169373,0.361413896083832,2.68603277206421,0.474433869123459,13.3145561218262,21.4684162139893,83.5396118164063,0,0,11.7339038848877,0.706957280635834,
31,0,29.89573669,0,14.48257065,0,1.644158244,0,1.889035821,0,10.82800674,2.25921607017517,0.362282127141953,2.70448780059814,0.477648138999939,13.0499992370605,21.5461330413818,83.5139999389648,0,0,11.2866840362549,0.710073411464691,
32,0,30.44457626,0,14.68930626,0,1.663124919,0,1.893108726,0,10.95513725,2.28084897994995,0.36310887336731,2.72607755661011,0.481343686580658,12.7841691970825,21.6225147247314,83.4893035888672,0,0,10.8675289154053,0.714523911476135,
33,0,30.97807121,0,14.89159489,0,1.681385279,0,1.896981716,0,11.07818985,2.30171751976013,0.363896310329437,2.75022101402283,0.485402852296829,12.5179824829102,21.6976776123047,83.4655151367188,0,0,10.4748115539551,0.72003185749054,
34,0,31.49901962,0,15.0903492,0,1.699044466,0,1.900685787,0,11.19786072,2.32184314727783,0.364646881818771,2.77641797065735,0.489729791879654,12.2522602081299,21.7717189788818,83.4426193237305,0,0,10.1069984436035,0.726369738578796,
35,0,32.00759888,0,15.28553391,0,1.716124058,0,1.904231548,0,11.31422424,2.34127140045166,0.365363955497742,2.80425310134888,0.494249016046524,11.9877424240112,21.8447208404541,83.4206161499023,0,0,9.76264572143555,0.733355283737183,
36,0,32.50397873,0,15.47710133,0,1.732638121,0,1.907628536,0,11.42735672,2.36003637313843,0.366050004959106,2.83337044715881,0.498899191617966,11.7250862121582,21.9167575836182,83.3994903564453,0,0,9.44039249420166,0.740838646888733,
37,0,32.99085999,0,15.66600323,0,1.748687625,0,1.9109025,0,11.53790855,2.37818622589111,0.366708099842072,2.86347985267639,0.50363302230835,11.464879989624,21.9878902435303,83.3792190551758,0,0,9.13896083831787,0.748701333999634,
