"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0,0,0,0,0,0,0,0,0,0.597025990486145,1.17706894874573,10.0631103515625,8.63909530639648,8.04526615142822,12.2187299728394,77.9058303833008,0,0,55.2006988525391,20.0220909118652,
1,0,3.011603355,0,5.118201256,0,0.414182812,0,1.252993464,0,3.26172781,0.309596419334412,0.274098128080368,9.36309909820557,6.66546583175659,9.2237720489502,13.0723581314087,78.2518463134766,0,0,51.8431739807129,15.9710826873779,
2,0,5.23716259,0,8.549416542,0,0.6761693954,0,1.491259933,0,4.74916172,0.394493460655212,0.142009198665619,8.62910461425781,5.16387367248535,10.230658531189,13.8204431533813,78.4351501464844,0,0,48.7074775695801,12.7821187973022,
3,0,7.199325085,0,8.37687397,0,0.7418727875,0,1.543028474,0,5.178236485,0.483842760324478,0.124978646636009,7.8633017539978,4.01488780975342,11.0828828811646,14.4804258346558,78.5520935058594,0,0,45.7766723632813,10.2563953399658,
4,0,8.989397049,0,8.474209785,0,0.8117092252,0,1.589945316,0,5.616259098,0.536620616912842,0.124736689031124,7.0815281867981,3.13340044021606,11.7958755493164,15.0506086349487,78.6273422241211,0,0,43.0368423461914,8.24421787261963,
5,0,10.65505219,0,8.694804192,0,0.8804500699,0,1.63042891,0,6.040557384,0.577900409698486,0.127474755048752,6.33152675628662,2.45789361000061,12.3837251663208,15.5394926071167,78.6729888916016,0,0,40.4753761291504,6.64284086227417,
6,0,12.21570015,0,8.979629517,0,0.9462893009,0,1.664963961,0,6.443964005,0.614392220973969,0.130410939455032,5.63966035842896,1.94087767601013,12.8592948913574,15.9575328826904,78.6968536376953,0,0,38.0806503295898,5.36951398849487,
7,0,13.68619061,0,9.299757004,0,1.008711815,0,1.694491982,0,6.825322628,0.647912740707397,0.133037269115448,5.0188102722168,1.54574906826019,13.2343292236328,16.314826965332,78.7045974731445,0,0,35.841854095459,4.35793256759644,
8,0,15.08301735,0,9.640677452,0,1.067879915,0,1.719994783,0,7.186741829,0.679071307182312,0.135314017534256,4.4732928276062,1.24432349205017,13.5195426940918,16.6205005645752,78.7004699707031,0,0,33.7489471435547,3.555091381073,
9,0,16.41341782,0,9.992907524,0,1.123842478,0,1.742168427,0,7.529163361,0.708172678947449,0.137286812067032,4.00208473205566,1.01490783691406,13.7247066497803,16.8825817108154,78.6876754760742,0,0,31.7925701141357,2.91866230964661,
10,0,17.68294907,0,10.35029697,0,1.176717997,0,1.761579394,0,7.853685379,0.73539924621582,0.139004901051521,3.60096502304077,0.84080445766449,13.8587245941162,17.1080188751221,78.6686553955078,0,0,29.9639835357666,2.41486001014709,
11,0,18.89600372,0,10.70867252,0,1.22664845,0,1.778684139,0,8.161396027,0.76089745759964,0.140510737895966,3.26397037506104,0.709163069725037,13.9297027587891,17.3027477264404,78.6452407836914,0,0,28.2550106048584,2.01672792434692,
12,0,20.05613899,0,11.06508636,0,1.273786068,0,1.793849707,0,8.453314781,0.784797430038452,0.141839027404785,2.9843590259552,0.610095858573914,13.9450178146362,17.4717979431152,78.6188125610352,0,0,26.6579990386963,1.70276212692261,
13,0,21.17196846,0,11.41924381,0,1.318506241,0,1.807440519,0,8.731793404,0.807254254817963,0.14301997423172,2.75525832176209,0.536001145839691,13.9113731384277,17.6194190979004,78.5904235839844,0,0,25.1658039093018,1.4558197259903,
