"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0,0,0,0,0,0,0,0,0,0.309325009584427,2.22307991981506,8.24272346496582,4.79910612106323,4.14726495742798,6.91766500473022,62.3152885437012,19.1448593139648,17.9626693725586,0,0,
1,0.02840910479,0,2.720632792,0,0.7086135745,0,0.3030053377,0,0.4645941854,0,0.326283425092697,1.59767782688141,9.22364616394043,4.3925952911377,4.65426874160767,7.15068483352661,62.3362770080566,18.3266563415527,15.4911556243896,0,0,
2,0.08711513877,0,4.578032017,0,1.085404634,0,0.4794413149,0,0.7971812487,0,0.449110120534897,1.21185874938965,9.9614086151123,4.02434492111206,5.12441968917847,7.38135719299316,62.3252067565918,17.5436153411865,13.3834095001221,0,0,
3,0.1674126238,0,6.112564087,0,1.37240541,0,0.6124386787,0,1.086390138,0,0.619673907756805,0.975381195545197,10.4929151535034,3.69029450416565,5.55963563919067,7.61050987243652,62.2933883666992,16.7943515777588,11.5834379196167,0,0,
4,0.2655782402,0,7.430817127,0,1.606877565,0,0.7188370824,0,1.346489668,0,0.814625382423401,0.836044192314148,10.8561544418335,3.38720059394836,5.96174907684326,7.83834362030029,62.2483062744141,16.0775108337402,10.046088218689,0,0,
5,0.3791622818,0,8.584611893,0,1.80524087,0,0.8067301512,0,1.58399117,0,1.02013564109802,0.759944200515747,11.0840196609497,3.11219096183777,6.33250951766968,8.06477165222168,62.1949653625488,15.3917770385742,8.73321342468262,0,0,
6,0.5063015819,0,9.605488777,0,1.976705194,0,0.880885005,0,1.802760959,0,1.22750520706177,0.724685728549957,11.2043037414551,2.86268472671509,6.67358541488647,8.28957843780518,62.1367034912109,14.7358884811401,7.61234188079834,0,0,
7,0.645465374,0,10.51503754,0,2.127129316,0,0.9444182515,0,2.005436182,0,1.43119049072266,0.715406179428101,11.2402210235596,2.63635158538818,6.98656940460205,8.51250267028809,62.0757484436035,14.1086254119873,6.6557469367981,0,0,
8,0.7953353524,0,11.32915783,0,2.260545492,0,0.9995040298,0,2.193974495,0,1.62770593166351,0.72224885225296,11.2110090255737,2.43107962608337,7.27298069000244,8.73328018188477,62.0135765075684,13.5088157653809,5.83971691131592,0,0,
9,0.954741478,0,12.06015587,0,2.379882097,0,1.047727942,0,2.369913101,0,1.81494879722595,0.738705098628998,11.1325006484985,2.24495363235474,7.53426742553711,8.95167541503906,61.9511680603027,12.9353303909302,5.14395427703857,0,0,
10,1.122623563,0,12.71790504,0,2.487351894,0,1.090284824,0,2.53450489,0,1.99175763130188,0.760510623455048,11.0176391601563,2.07623362541199,7.77181148529053,9.16748428344727,61.8891677856445,12.3870840072632,4.55107498168945,0,0,
11,1.298007607,0,13.31054401,0,2.584676981,0,1.128097773,0,2.688799381,0,2.15761351585388,0.784904897212982,10.8769359588623,1.92333853244781,7.98692989349365,9.38054275512695,61.8279876708984,11.8630342483521,4.04618644714355,0,0,
12,1.479990005,0,13.84492493,0,2.673229933,0,1.161894798,0,2.833693981,0,2.31243371963501,0.810132741928101,10.7188587188721,1.78483068943024,8.18087673187256,9.59072685241699,61.7678985595703,11.3621788024902,3.61652755737305,0,0,
13,1.667727232,0,14.32691097,0,2.754126072,0,1.192259669,0,2.969965935,0,2.45642757415771,0.835107326507568,10.5501670837402,1.65940272808075,8.3548469543457,9.79794788360596,61.7090682983398,10.8835525512695,3.25116324424744,0,0,
14,1.860427737,0,14.76158905,0,2.828285456,0,1.219666481,0,3.098300457,0,2.58999347686768,0.859183609485626,10.3762035369873,1.54586517810822,8.50998115539551,10.0021495819092,61.6515960693359,10.426230430603,2.94072318077087,0,0,
15,2.057346821,0,15.15342045,0,2.896477699,0,1.244505763,0,3.219302654,0,2.71364712715149,0.882005274295807,10.2011346817017,1.44313561916351,8.64736270904541,10.2033033370972,61.5955352783203,9.98932075500488,2.67717885971069,0,0,
16,2.257782698,0,15.50635338,0,2.959353209,0,1.267101407,0,3.333513737,0,2.82797002792358,0.903402328491211,10.0281581878662,1.35022926330566,8.76802539825439,10.4014024734497,61.5409202575684,9.57196998596191,2.45365238189697,0,0,
17,2.461073399,0,15.82390785,0,3.017467499,0,1.287725687,0,3.441417933,0,2.93357396125793,0.923322379589081,9.85967826843262,1.26624965667725,8.87295150756836,10.5964612960815,61.4877624511719,9.17335510253906,2.26425313949585,0,0,
18,2.666594744,0,16.1092453,0,3.071299076,0,1.306608558,0,3.543456554,0,3.03107619285584,0.941785097122192,9.69745063781738,1.19038116931915,8.9630765914917,10.7885084152222,61.4360618591309,8.79268646240234,2.10393714904785,0,0,
19,2.873757601,0,16.3652153,0,3.121262312,0,1.323945642,0,3.640026569,0,3.1210823059082,0.958852469921112,9.54270648956299,1.12188124656677,9.03929042816162,10.9775819778442,61.3858108520508,8.42920589447021,1.96838688850403,0,0,
20,3.082007647,0,16.59440041,0,3.167719364,0,1.339904904,0,3.731491566,0,3.20417547225952,0.974609017372131,9.39625549316406,1.06007409095764,9.10243892669678,11.1637315750122,61.3370056152344,8.08218574523926,1.85390794277191,0,0,
21,3.290822983,0,16.79915237,0,3.210988283,0,1.354631186,0,3.818183184,0,3.28090882301331,0.989149272441864,9.25857162475586,1.00434470176697,9.15332794189453,11.3470096588135,61.2896270751953,7.75092554092407,1.75734055042267,0,0,
22,3.499713659,0,16.98161125,0,3.251349211,0,1.368249655,0,3.900403738,0,3.351802110672,1.002570271492,9.12986278533936,0.954133212566376,9.19272327423096,11.527473449707,61.2436637878418,7.43475294113159,1.67598378658295,0,0,
23,3.708220482,0,17.1437397,0,3.289051533,0,1.380870104,0,3.978434801,0,3.41733980178833,1.0149667263031,9.0101318359375,0.90893018245697,9.22135066986084,11.7051811218262,61.1990928649902,7.13302230834961,1.60752964019775,0,0,
24,3.915914059,0,17.28733635,0,3.324316263,0,1.392587662,0,4.052532196,0,3.47797060012817,1.02642846107483,8.89922428131104,0.868271946907043,9.23990249633789,11.8801918029785,61.1559066772461,6.84511423110962,1.55000734329224,0,0,
25,4.122394085,0,17.41405106,0,3.357341766,0,1.403486729,0,4.122934341,0,3.53410768508911,1.0370386838913,8.7968692779541,0.831736743450165,9.24903392791748,12.0525646209717,61.1140823364258,6.57043313980103,1.50173544883728,0,0,
26,4.327288628,0,17.52540398,0,3.388305902,0,1.413641453,0,4.189859867,0,3.58613133430481,1.04687392711639,8.70270729064941,0.798940598964691,9.24936771392822,12.2223567962646,61.0736083984375,6.3084077835083,1.46127998828888,0,0,
27,4.706193924,0,17.3228569,0,3.606068373,0,1.424961448,0,4.266035557,0,3.6424605846405,1.05621159076691,8.61226558685303,0.769591569900513,9.24149513244629,12.3898525238037,61.0344848632813,6.05888032913208,1.42598354816437,0,0,
28,4.857636929,0,17.3526001,0,3.613129377,0,1.430291414,0,4.302495956,0,3.70072913169861,1.06465542316437,8.52443981170654,0.743256747722626,9.22598934173584,12.5552186965942,60.9966735839844,5.82119798660278,1.39474201202393,0,0,
29,5.008578777,0,17.38213158,0,3.620395184,0,1.435558558,0,4.338906288,0,3.75107049942017,1.07178854942322,8.44238090515137,0.719497621059418,9.20339107513428,12.7183046340942,60.9601097106934,5.59434747695923,1.36810553073883,0,0,
30,5.156257153,0,17.41093445,0,3.627714396,0,1.440668583,0,4.374600887,0,3.7948169708252,1.07797479629517,8.36600303649902,0.698091387748718,9.17419624328613,12.8790044784546,60.9247360229492,5.37785720825195,1.34543251991272,0,0,
31,5.306260586,0,17.44010544,0,3.635348558,0,1.445815206,0,4.410925388,0,3.83309197425842,1.08348178863525,8.29517936706543,0.678837299346924,9.13887500762939,13.0372533798218,60.8905296325684,5.1712818145752,1.3261730670929,0,0,
32,5.45304966,0,17.46857262,0,3.643005371,0,1.450809121,0,4.446538448,0,3.86682653427124,1.08849787712097,8.22974395751953,0.661551773548126,9.09787368774414,13.1930141448975,60.8574638366699,4.974196434021,1.30985343456268,0,0,
33,5.599420547,0,17.49689293,0,3.65081358,0,1.455747366,0,4.482114792,0,3.89677381515503,1.09314513206482,8.1694917678833,0.646063685417175,9.05161571502686,13.3462753295898,60.8255195617676,4.78618669509888,1.29606294631958,0,0,
34,5.748136997,0,17.52560425,0,3.658913851,0,1.460722327,0,4.518327236,0,3.92359495162964,1.09753084182739,8.11421966552734,0.632222771644592,9.00050163269043,13.4970426559448,60.7946853637695,4.60686874389648,1.28445291519165,0,0,
35,5.890960693,0,17.55312538,0,3.66684556,0,1.46546042,0,4.553166389,0,3.9478018283844,1.10171008110046,8.06368827819824,0.619885385036469,8.94491100311279,13.6453399658203,60.764949798584,4.43586397171021,1.27471804618835,0,0,
36,6.036153793,0,17.58104706,0,3.675052166,0,1.470237255,0,4.588643074,0,3.96981739997864,1.10572183132172,8.01765155792236,0.608920156955719,8.88520336151123,13.7911977767944,60.7363090515137,4.27280902862549,1.26659500598907,0,0,
37,6.180979729,0,17.60885811,0,3.683375359,0,1.474962234,0,4.624091148,0,3.99003005027771,1.10961425304413,7.97588109970093,0.599213004112244,8.8217191696167,13.9346580505371,60.7087516784668,4.11736917495728,1.25986230373383,0,0,
38,6.322723389,0,17.63603592,0,3.691648722,0,1.479548454,0,4.658842087,0,4.00872421264648,1.11340129375458,7.93812656402588,0.590653538703918,8.75477981567383,14.0757665634155,60.6822738647461,3.96921014785767,1.25432407855988,0,0,
39,6.466848373,0,17.66362953,0,3.700182199,0,1.484173179,0,4.694233418,0,4.02615404129028,1.11710298061371,7.90415287017822,0.583143770694733,8.68469047546387,14.2145757675171,60.656867980957,3.82801985740662,1.2498140335083,0,0,
40,6.607925415,0,17.69060326,0,3.708648682,0,1.488662481,0,4.728930473,0,4.04253005981445,1.12073361873627,7.87372875213623,0.576593995094299,8.61173820495605,14.3511390686035,60.6325263977051,3.6934986114502,1.24618911743164,0,0,
41,6.748684406,0,17.71748734,0,3.717201471,0,1.493105054,0,4.763603687,0,4.05800867080688,1.1242938041687,7.84662008285522,0.570919275283813,8.53619575500488,14.4855136871338,60.6092414855957,3.56535410881042,1.24332344532013,0,0,
42,6.889134407,0,17.74427795,0,3.725836754,0,1.497501373,0,4.798252106,0,4.07273721694946,1.1277939081192,7.82261085510254,0.566044867038727,8.45831966400146,14.6177539825439,60.5870056152344,3.44331216812134,1.24111104011536,0,0,
43,7.02928257,0,17.77098465,0,3.734549284,0,1.501852155,0,4.832877159,0,4.08683824539185,1.13124144077301,7.80149507522583,0.561902344226837,8.37835311889648,14.7479181289673,60.5658073425293,3.3271107673645,1.23946070671082,0,0,
