"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0,0,0,0,0,0,0,0,0,0.318819999694824,1.77785003185272,7.54449987411499,6.28805112838745,6.99141502380371,4.96753597259521,59.2397499084473,42.182689666748,10.8961400985718,0,0,
1,0.3470464647,0,2.680564404,0,0.4628138542,0,0.3056580126,0,0.4692162573,0,0.28152933716774,1.05554258823395,7.62530326843262,5.52818012237549,8.07783889770508,5.32577848434448,59.3362426757813,40.188850402832,9.2249813079834,0,0,
2,0.8640944958,0,4.384274483,0,0.7152650952,0,0.4949237704,0,0.829003036,0,0.337544023990631,0.684019863605499,7.61088752746582,4.86402654647827,9.06816482543945,5.66659879684448,59.3729629516602,38.2911987304688,7.83265542984009,0,0,
3,1.464868784,0,5.694545746,0,0.911054492,0,0.6401538849,0,1.151490211,0,0.43262255191803,0.500325918197632,7.5185866355896,4.28334760665894,9.96840953826904,5.99349784851074,59.3752212524414,36.4857559204102,6.66963815689087,0,0,
4,2.120501518,0,6.740515709,0,1.073553324,0,0.7574266195,0,1.448047996,0,0.544285178184509,0.418493390083313,7.36904144287109,3.77575063705444,10.7842741012573,6.30840873718262,59.3573837280273,34.7684669494629,5.69740581512451,0,0,
5,2.814150572,0,7.587946892,0,1.213023782,0,0.8548052311,0,1.723751783,0,0.66034060716629,0.391085684299469,7.17964887619019,3.33217430114746,11.5211544036865,6.61244440078735,59.3276863098145,33.135368347168,4.8843035697937,0,0,
6,3.534251928,0,8.278215408,0,1.335215092,0,0.9371863604,0,1.981599212,0,0.774081587791443,0.391893893480301,6.96436262130737,2.94469141960144,12.184154510498,6.90628290176392,59.2909049987793,31.5826168060303,4.20407056808472,0,0,
7,4.272182465,0,8.840348244,0,1.443786025,0,1.00784719,0,2.223655224,0,0.881960034370422,0.406531393527985,6.73408842086792,2.60635733604431,12.7780990600586,7.1903715133667,59.249870300293,30.1065216064453,3.63483452796936,0,0,
8,5.021195412,0,9.296094894,0,1.541258216,0,1.0691154,0,2.451482534,0,0.982290089130402,0.427204549312592,6.49717378616333,2.31108427047729,13.3075428009033,7.46503973007202,59.2062911987305,28.7035140991211,3.15834212303162,0,0,
9,5.775849342,0,9.662480354,0,1.629467368,0,1.12271297,0,2.666337967,0,1.07448208332062,0.449785172939301,6.25987386703491,2.05353498458862,13.7767877578735,7.73056507110596,59.1612358093262,27.3701782226563,2.75934219360352,0,0,
10,6.531672478,0,9.953237534,0,1.709804416,0,1.169952512,0,2.869274139,0,1.15857768058777,0.472169011831284,6.02676105499268,1.82902920246124,14.1898946762085,7.98720407485962,59.115406036377,26.103235244751,2.42508506774902,0,0,
11,7.28494215,0,10.17969322,0,1.783355713,0,1.211857557,0,3.061196566,0,1.2349659204483,0.493356496095657,5.80107307434082,1.63346230983734,14.5506935119629,8.23520755767822,59.069278717041,24.8995399475098,2.14490938186646,0,0,
12,8.032535553,0,10.3513422,0,1.850990772,0,1.249240637,0,3.242900133,0,1.30420887470245,0.512940108776093,5.58499908447266,1.46323430538177,14.8627967834473,8.47482776641846,59.0231971740723,23.7560844421387,1.9098984003067,0,0,
13,8.771827698,0,10.47623634,0,1.91341877,0,1.282757163,0,3.415091991,0,1.36693775653839,0.530820250511169,5.37991762161255,1.31518805027008,15.1296081542969,8.70632171630859,58.9774208068848,22.6699905395508,1.71259582042694,0,0,
14,9.933303833,0,9.224783897,0,2.31151247,0,1.293573499,0,3.472678185,0,1.43380856513977,0.54525625705719,5.16850566864014,1.18609058856964,15.3543367385864,8.9301700592041,58.9319152832031,21.639461517334,1.54049038887024,0,0,
15,10.5187788,0,9.121125221,0,2.319674253,0,1.310444713,0,3.564581871,0,1.49978733062744,0.556161046028137,4.95037889480591,1.07329285144806,15.5400314331055,9.14643669128418,58.8865814208984,20.6615295410156,1.38861477375031,0,0,
16,11.09400177,0,9.046920776,0,2.331826925,0,1.327690125,0,3.661260605,0,1.55196905136108,0.56562077999115,4.74381971359253,0.974991738796234,15.6895570755005,9.35472679138184,58.8415298461914,19.7324085235596,1.25937259197235,0,0,
17,11.65666008,0,8.996750832,0,2.346928358,0,1.34497726,0,3.761097908,0,1.5945131778717,0.574284076690674,4.55015516281128,0.88946545124054,15.8055667877197,9.5549488067627,58.7969093322754,18.8497428894043,1.14951765537262,0,0,
18,12.20955467,0,8.965910912,0,2.364305258,0,1.362199903,0,3.863629818,0,1.63030230998993,0.58248507976532,4.37012434005737,0.815191686153412,15.8905601501465,9.74721145629883,58.7528800964355,18.0112838745117,1.05625784397125,0,0,
19,12.75287724,0,8.95099926,0,2.383407593,0,1.379223704,0,3.968153477,0,1.66134071350098,0.590394496917725,4.20401906967163,0.750827670097351,15.9468860626221,9.93174934387207,58.709587097168,17.2148990631104,0.977194249629974,0,0,
