"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0,0,0,0,0,0,0,0,0,0.784071028232574,2.07414507865906,7.55226421356201,6.06842994689941,10.2806301116943,13.4921798706055,68.6039733886719,35.4522590637207,10.436900138855,0,0,
1,0.3417798877,0,1.583599091,0,0.3972528875,0,0.2086666673,0,0.3069576025,0,0.668898522853851,1.38080430030823,7.76800632476807,5.46922540664673,11.1206607818604,13.6686744689941,68.6850204467773,33.8763198852539,8.93591785430908,0,0,
2,0.8255653381,0,2.819292784,0,0.6716079712,0,0.3712458313,0,0.5870096684,0,0.664706766605377,0.965532124042511,7.86790132522583,4.93196821212769,11.8898944854736,13.8332271575928,68.7197647094727,32.3732147216797,7.66528034210205,0,0,
3,1.374231458,0,3.862027407,0,0.9018300176,0,0.5074880719,0,0.8551676869,0,0.729076147079468,0.724835515022278,7.87668609619141,4.45035266876221,12.5924282073975,13.9892234802246,68.7248992919922,30.9403896331787,6.58912420272827,0,0,
4,1.963060737,0,4.759158611,0,1.102962375,0,0.62395823,0,1.113232017,0,0.837402164936066,0.593672871589661,7.81622457504272,4.01877307891846,13.2321720123291,14.1389598846436,68.7111892700195,29.5750637054443,5.67773103713989,0,0,
5,2.577955246,0,5.538081169,0,1.282236934,0,0.7247165442,0,1.361700177,0,0.972923815250397,0.530547082424164,7.70456218719482,3.63218879699707,13.8128509521484,14.2840089797974,68.6855773925781,28.2744541168213,4.9060320854187,0,0,
6,3.209427834,0,6.217727661,0,1.444010496,0,0.8126354218,0,1.600763559,0,1.12397265434265,0.508998692035675,7.55632781982422,3.28606033325195,14.3380060195923,14.425443649292,68.6525421142578,27.0358219146729,4.25280427932739,0,0,
7,3.850538969,0,6.812407494,0,1.59123373,0,0.8898774981,0,1.830550432,0,1.28240656852722,0.512221217155457,7.38324213027954,2.97630047798157,14.8110017776489,14.5639934539795,68.6149749755859,25.8564968109131,3.70004725456238,0,0,
8,4.495962143,0,7.333518028,0,1.726055861,0,0.9581299424,0,2.051198959,0,1.44258689880371,0.529607832431793,7.1945915222168,2.69922637939453,15.235032081604,14.7001495361328,68.5747451782227,24.7338886260986,3.23248648643494,0,0,
9,5.141483784,0,7.790446758,0,1.850120783,0,1.018740296,0,2.262875557,0,1.60067069530487,0.554528057575226,6.99764919281006,2.45152187347412,15.6131267547607,14.8342380523682,68.5330810546875,23.6654872894287,2.83715319633484,0,0,
10,5.783709049,0,8.191104889,0,1.964731097,0,1.072802424,0,2.465776443,0,1.75410747528076,0.582894206047058,6.79803562164307,2.23020005226135,15.9481630325317,14.9664707183838,68.4907531738281,22.6488723754883,2.50303554534912,0,0,
11,6.419870377,0,8.542264938,0,2.070946932,0,1.121216893,0,2.660127163,0,1.90127599239349,0.612237513065338,6.60002326965332,2.03257203102112,16.2428646087646,15.0969820022583,68.4482879638672,21.6817073822021,2.22078323364258,0,0,
12,7.04769659,0,8.84979248,0,2.169648886,0,1.164731622,0,2.846173286,0,2.04121971130371,0.641113638877869,6.40679216384888,1.85621678829193,16.4998149871826,15.2258520126343,68.4060363769531,20.7617454528809,1.98245692253113,0,0,
13,8.000804901,0,8.652400017,0,2.216122389,0,1.19703567,0,2.991954803,0,2.16988492012024,0.667992234230042,6.21419477462769,1.698810338974,16.72145652771,15.3528184890747,68.3641586303711,19.8879375457764,1.77910089492798,0,0,
14,8.486729622,0,8.783025742,0,2.282180071,0,1.22356081,0,3.116968632,0,2.28556394577026,0.691778481006622,6.02265310287476,1.55820214748383,16.9101409912109,15.477499961853,68.3226776123047,19.0577564239502,1.60481977462769,0,0,
15,8.963050842,0,8.908849716,0,2.346055984,0,1.248614907,0,3.239771843,0,2.39110422134399,0.712777554988861,5.83894777297974,1.43262624740601,17.0680770874023,15.5997638702393,68.281608581543,18.2676868438721,1.45694744586945,0,0,
16,9.432713509,0,9.030955315,0,2.408226013,0,1.272443295,0,3.361117363,0,2.48806953430176,0.731667399406433,5.66455030441284,1.32057845592499,17.1973094940186,15.7195539474487,68.2409973144531,17.5158920288086,1.3316262960434,0,0,
17,9.891113281,0,9.148402214,0,2.468156099,0,1.294898748,0,3.479804277,0,2.57770276069641,0.74890261888504,5.50044012069702,1.22070133686066,17.2997722625732,15.8368692398071,68.2009048461914,16.800609588623,1.22555708885193,0,0,
18,10.34111023,0,9.262161255,0,2.526292086,0,1.316204786,0,3.596558332,0,2.66098976135254,0.764788925647736,5.3471999168396,1.13176965713501,17.3772926330566,15.9517459869385,68.1614074707031,16.1201496124268,1.13591742515564,0,0,
19,10.78544235,0,9.37309742,0,2.58304143,0,1.33655405,0,3.712077141,0,2.73881196975708,0.779570341110229,5.20513248443604,1.05268585681915,17.4316005706787,16.0642509460449,68.12255859375,15.4729175567627,1.06030178070068,0,0,
20,11.21950436,0,9.480222702,0,2.637868166,0,1.355797887,0,3.825148582,0,2.8118634223938,0.793411433696747,5.07428932189941,0.982458770275116,17.4643325805664,16.1744728088379,68.0844345092773,14.8573808670044,0.996651768684387,0,0,
21,11.64598942,0,9.58435154,0,2.691165686,0,1.374117136,0,3.936457396,0,2.88068723678589,0.806423246860504,4.95452642440796,0.920192897319794,17.477029800415,16.2825126647949,68.0470809936523,14.2720718383789,0.943205416202545,0,0,
22,12.06750774,0,9.686231613,0,2.743298054,0,1.391670227,0,4.046672344,0,2.94580030441284,0.818714320659637,4.84558296203613,0.865087389945984,17.4711532592773,16.3884754180908,68.0105590820313,13.7156038284302,0.898463129997253,0,0,
23,12.48184776,0,9.78542614,0,2.79402709,0,1.408407569,0,4.155201435,0,3.00763154029846,0.830367028713226,4.74709320068359,0.816421151161194,17.4480800628662,16.4924736022949,67.9749298095703,13.1866540908813,0.861143290996552,0,0,
24,12.88919163,0,9.88207531,0,2.843412161,0,1.424379587,0,4.262079239,0,3.06650948524475,0.841435492038727,4.65860605239868,0.773541808128357,17.4091110229492,16.5946197509766,67.9402160644531,12.6839513778687,0.830148279666901,0,0,
25,13.28971195,0,9.976306915,0,2.891507387,0,1.439633131,0,4.367338181,0,3.12271213531494,0.851965546607971,4.57961845397949,0.735861897468567,17.3554763793945,16.6950225830078,67.9064636230469,12.2062816619873,0.80454033613205,0,0,
26,13.68356037,0,10.06822872,0,2.93836236,0,1.454210401,0,4.471003532,0,3.17647671699524,0.861996352672577,4.50959873199463,0.702852368354797,17.2883338928223,16.7937850952148,67.8737030029297,11.7524890899658,0.783518433570862,0,0,
27,14.07088184,0,10.15794182,0,2.984023809,0,1.468150616,0,4.573101521,0,3.22800636291504,0.871562063694,4.44799613952637,0.674036800861359,17.208776473999,16.8910083770752,67.8419570922852,11.3214664459229,0.766398131847382,0,0,
