"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0,0,0,0,0,0,0,0,0,0.848029017448425,1.55715703964233,16.2754001617432,12.4582595825195,16.3452701568604,29.1636695861816,139.286605834961,0,0,97.2018890380859,33.5112495422363,
1,0,2.466822386,0,16.93108177,0,2.943516493,0,1.668322682,0,6.485528946,1.30415272712708,0.692009925842285,16.3655338287354,10.2655353546143,18.5524120330811,30.1616039276123,139.577941894531,0,0,91.9143524169922,27.5508041381836,
2,0,4.733051777,0,28.5231514,0,4.027103424,0,1.834412694,0,9.33784771,2.68582940101624,0.47536826133728,16.3397483825684,8.50180530548096,20.4957332611084,31.2823371887207,139.750228881836,0,0,86.9287033081055,22.7941360473633,
3,0,6.901870728,0,25.53030968,0,3.392011881,0,1.823257685,0,9.078039169,3.85853743553162,0.404731571674347,17.9958171844482,7.16969108581543,22.1966953277588,32.5727920532227,139.861221313477,0,0,82.2276382446289,19.6151866912842,
4,0,8.98942852,0,23.94052124,0,3.09397912,0,1.824828267,0,9.113808632,3.90381693840027,0.37524202466011,17.0866622924805,5.96720266342163,23.6752319335938,33.7452850341797,139.926574707031,0,0,77.7951126098633,16.3065338134766,
5,0,11.01064301,0,23.01220512,0,2.93948102,0,1.83202064,0,9.280988693,3.81651091575623,0.364589691162109,16.0373363494873,4.97976541519165,24.9498672485352,34.7845497131348,139.958770751953,0,0,73.616081237793,13.5825176239014,
6,0,12.97375393,0,22.45651817,0,2.858667612,0,1.841695189,0,9.514943123,3.71462154388428,0.361574560403824,14.9344215393066,4.16988372802734,26.0377998352051,35.6969909667969,139.965789794922,0,0,69.6763610839844,11.3425140380859,
7,0,14.87788773,0,22.13431168,0,2.820193768,0,1.852290273,0,9.783745766,3.63404273986816,0.361662954092026,13.835132598877,3.50634384155273,26.9550018310547,36.4955978393555,139.953262329102,0,0,65.9625778198242,9.50208282470703,
8,0,16.73290443,0,21.96648216,0,2.807647705,0,1.863067508,0,10.0714407,3.58143758773804,0.362995505332947,12.7766666412354,2.96329712867737,27.7162952423096,37.194408416748,139.925430297852,0,0,62.4621086120605,7.99100112915039,
9,0,18.53848457,0,21.90637779,0,2.811897039,0,1.873620987,0,10.36782932,3.55387234687805,0.364797443151474,11.7821607589722,2.51939177513123,28.335428237915,37.8065490722656,139.885559082031,0,0,59.1630439758301,6.75112581253052,
10,0,20.29622841,0,21.92342186,0,2.827358484,0,1.883761168,0,10.66683102,3.5461483001709,0.366738647222519,10.8648376464844,2.15701246261597,28.8251476287842,38.3437042236328,139.836303710938,0,0,56.0541229248047,5.73443698883057,
11,0,22.0097332,0,21.99693489,0,2.850497484,0,1.893421054,0,10.96497917,3.55330014228821,0.368678390979767,10.0309438705444,1.86164283752441,29.1972637176514,38.8160400390625,139.779754638672,0,0,53.1247253417969,4.90133190155029,
12,0,23.68234062,0,22.11257744,0,2.879003048,0,1.90259099,0,11.26016808,3.57130455970764,0.370558589696884,9.28190517425537,1.62133002281189,29.4627151489258,39.232364654541,139.71760559082,0,0,50.364818572998,4.21918535232544,
13,0,25.31258202,0,22.25966644,0,2.91121769,0,1.911267519,0,11.55032444,3.59709453582764,0.372356444597244,8.61588478088379,1.42623293399811,29.6316261291504,39.600284576416,139.65119934082,0,0,47.7649269104004,3.66113448143005,
14,0,26.90348816,0,22.43054008,0,2.946042776,0,1.919487476,0,11.83474731,3.62840270996094,0.374065309762955,8.0289306640625,1.26825261116028,29.7133598327637,39.9263763427734,139.581649780273,0,0,45.3160972595215,3.20507335662842,
15,0,28.4556675,0,22.61926842,0,2.982649565,0,1.927281976,0,12.11269855,3.66358304023743,0.375686854124069,7.51580142974854,1.1407265663147,29.71657371521,40.21630859375,139.509857177734,0,0,43.0098686218262,2.83281636238098,
16,0,29.96965027,0,22.82123375,0,3.020430803,0,1.93468523,0,12.3836937,3.7014331817627,0.377225577831268,7.07056140899658,1.03817439079285,29.6492652893066,40.4749908447266,139.436508178711,0,0,40.838249206543,2.52940654754639,
17,0,31.45045662,0,23.03349876,0,3.059044361,0,1.941750884,0,12.648242,3.74110269546509,0.378688663244247,6.68700981140137,0.956092119216919,29.5188159942627,40.7066650390625,139.362197875977,0,0,38.793701171875,2.28254723548889,
18,0,32.89619827,0,23.25292015,0,3.098089933,0,1.94849813,0,12.90574169,3.78197312355042,0.38008314371109,6.3589653968811,0.890777587890625,29.3320350646973,40.9150047302246,139.287384033203,0,0,36.8690948486328,2.08212947845459,
19,0,34.30722427,0,23.47721481,0,3.137297153,0,1.954954624,0,13.1560955,3.82356214523315,0.38141456246376,6.08044528961182,0.839185476303101,29.0951995849609,41.1031761169434,139.212432861328,0,0,35.0577011108398,1.9198409318924,
20,0,35.68612289,0,23.70490646,0,3.176521778,0,1.961154938,0,13.39966583,3.86552262306213,0.382688850164413,5.84580612182617,0.798813879489899,28.8140869140625,41.2739143371582,139.137634277344,0,0,33.3531494140625,1.78884994983673,
21,0,37.03316879,0,23.93449974,0,3.215596676,0,1.967120886,0,13.63645363,3.90760254859924,0.383911609649658,5.6498122215271,0.767608165740967,28.4940128326416,41.4295806884766,139.063217163086,0,0,31.749439239502,1.68354165554047,
22,0,38.34859848,0,24.16474724,0,3.254393816,0,1.972870827,0,13.86648846,3.94960165023804,0.38508751988411,5.48766613006592,0.743879914283752,28.1398639678955,41.572208404541,138.989364624023,0,0,30.2408847808838,1.59930074214935,
23,0,39.63491058,0,24.39506149,0,3.292873621,0,1.978431225,0,14.09022522,3.99137854576111,0.386220961809158,5.35502433776855,0.726243376731873,27.7561264038086,41.7035598754883,138.916198730469,0,0,28.8221263885498,1.53233468532562,
