"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0,0,0,0,0,0,0,0,0,0.587517023086548,1.01057398319244,9.21079540252686,8.22385406494141,5.69721698760986,7.53737211227417,63.1697616577148,0,0,53.2407913208008,19.3150691986084,
1,0,1.167389274,0,1.613744378,0,0.2092106938,0,0.8005658388,0,1.566597581,0,0,7.46993970870972,5.50280332565308,6.76147937774658,8.78964996337891,63.6697044372559,0,0,49.3144149780273,14.5088834762573,
2,0,2.542670965,0,2.94499135,0,0.3562052548,0,1.080067635,0,2.494144917,0,0,6.02277278900146,3.69214391708374,7.61900043487549,9.6873836517334,63.8793716430664,0,0,45.6860275268555,10.9125852584839,
3,0,3.974382877,0,4.10586977,0,0.4797999561,0,1.253858209,0,3.266082287,0,0,4.84561634063721,2.48741602897644,8.29635524749756,10.3776998519897,64.0035934448242,0,0,42.33447265625,8.22280502319336,
4,0,5.421462059,0,5.134885788,0,0.5877078772,0,1.374883413,0,3.941194296,0,0,3.90568494796753,1.68690371513367,8.8172025680542,10.9042844772339,64.0713272094727,0,0,39.2395515441895,6.21239709854126,
5,0,6.862727165,0,6.055186749,0,0.6837087274,0,1.464337826,0,4.54488039,0,0,3.16677665710449,1.15604317188263,9.20256805419922,11.303334236145,64.1023483276367,0,0,36.3823509216309,4.71107244491577,
6,0,8.285277367,0,6.883145809,0,0.7701135874,0,1.533068419,0,5.091620445,0,0,2.59383702278137,0.805013239383698,9.47110748291016,11.6037702560425,64.1098861694336,0,0,33.7452430725098,3.59113907814026,
7,0,9.680633545,0,7.631318569,0,0.8485071063,0,1.587381601,0,5.590936661,0,0,2.15526676177979,0.573849558830261,9.63934803009033,11.828293800354,64.1026611328125,0,0,31.3118267059326,2.75684452056885,
8,0,11.04301357,0,8.309794426,0,0.9200550318,0,1.631248474,0,6.049657822,0,0,1.82382273674011,0.42252105474472,9.72191143035889,11.9945383071899,64.08642578125,0,0,29.0668811798096,2.13638973236084,
9,0,12.36842823,0,8.926923752,0,0.9856563807,0,1.667311907,0,6.472973824,0,0,1.57671856880188,0.324307560920715,9.73171043395996,12.1160936355591,64.0648880004883,0,0,26.9962692260742,1.67594373226166,
10,0,13.65414906,0,9.489760399,0,1.046028495,0,1.69740355,0,6.86498785,0,0,1.39530861377716,0.261377960443497,9.68012714385986,12.2033710479736,64.0404663085938,0,0,25.0868740081787,1.33515334129333,
11,0,14.89836597,0,10.00434494,0,1.10175848,0,1.722834349,0,7.229043961,0,0,1.26458704471588,0.221837267279625,9.57717990875244,12.2643136978149,64.0146713256836,0,0,23.3265361785889,1.08377504348755,
12,0,16.40437508,0,9.990432739,0,1.123463988,0,1.742024302,0,7.526843071,0,0,1.16762924194336,0.197616904973984,9.43166351318359,12.3019542694092,63.9883651733398,0,0,21.7049579620361,0.897123396396637,
