"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0,0,0,0,0,0,0,0,0,0.525398015975952,1.45544004440308,12.6381196975708,9.60757446289063,6.19042491912842,19.3659706115723,138.265502929688,0,0,51.6405982971191,30.3767395019531,
1,0,1.259870052,0,17.52766037,0,3.802509308,0,1.67244029,0,6.537096024,1.37652468681335,0.670599758625031,13.1711721420288,7.95005893707275,7.48454141616821,20.1980381011963,138.395935058594,0,0,48.848762512207,25.0223789215088,
2,0,2.333243847,0,28.28758621,0,5.769360542,0,1.827671409,0,9.179229736,3.43340039253235,0.479177981615067,13.5569763183594,6.62100076675415,8.63426685333252,21.2826480865479,138.433670043945,0,0,46.2131423950195,20.7549381256104,
3,0,3.331326962,0,27.41943169,0,5.48797226,0,1.826501369,0,9.152202606,5.10885381698608,0.414529055356979,14.204460144043,5.5468897819519,9.65096950531006,22.576961517334,138.423202514648,0,0,43.7247047424316,17.4940643310547,
4,0,4.284078598,0,26.88702583,0,5.323963165,0,1.828477025,0,9.197921753,5.73476362228394,0.389196515083313,13.9041585922241,4.65003252029419,10.5452222824097,23.8797225952148,138.381607055664,0,0,41.3752250671387,14.6121520996094,
5,0,5.19887495,0,26.53860664,0,5.224871635,0,1.83202076,0,9.280992508,6.00048542022705,0.379683703184128,13.4084796905518,3.91094994544983,11.3268642425537,25.1339130401611,138.318557739258,0,0,39.1569938659668,12.2417888641357,
6,0,6.078920364,0,26.30510902,0,5.165794849,0,1.836373568,0,9.384936333,6.1020770072937,0.376474618911743,12.7978019714355,3.30222010612488,12.0050497055054,26.3168144226074,138.24006652832,0,0,37.0627517700195,10.2928218841553,
7,0,6.934585571,0,26.14766693,0,5.132742882,0,1.84117043,0,9.50197506,6.1334753036499,0.375796496868134,12.1295413970947,2.80112838745117,12.5882921218872,27.422212600708,138.150268554688,0,0,35.0856590270996,8.69073677062988,
8,0,7.765606403,0,26.04504776,0,5.117855549,0,1.846167803,0,9.62676239,6.13887453079224,0.376143336296082,11.4441061019897,2.38888883590698,13.0845060348511,28.4516220092773,138.052230834961,0,0,33.2192687988281,7.37407398223877,
9,0,8.574129105,0,25.98295021,0,5.115947247,0,1.851227164,0,9.756155968,6.13836193084717,0.376905351877213,10.7692756652832,2.04997420310974,13.5010509490967,29.40993309021,137.948287963867,0,0,31.4574890136719,6.29220724105835,
