"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0,0,0,0,0,0,0,0,0,0.641945004463196,1.64962005615234,9.82129192352295,8.01620960235596,10.6008701324463,12.099160194397,78.4289779663086,52.218391418457,13.6208896636963,0,0,
1,0.49271065,0,7.92305994,0,0.7129855752,0,0.7079688311,0,1.318615079,0,0.528633296489716,0.896680295467377,9.71388339996338,6.89130830764771,11.8207759857178,12.5410537719727,78.5843811035156,49.6198539733887,11.4311637878418,0,0,
2,1.213661551,0,11.75115681,0,1.115632892,0,0.9844995141,0,2.14136076,0,0.612369954586029,0.593981146812439,9.59413719177246,5.93425416946411,12.9157447814941,12.9554567337036,78.6655883789063,47.1542739868164,9.65399646759033,0,0,
3,2.04471612,0,14.42521,0,1.435673475,0,1.158074856,0,2.816968203,0,0.749658524990082,0.476715743541718,9.42883968353271,5.11861324310303,13.8944664001465,13.3505430221558,78.70703125,44.8160247802734,8.19755268096924,0,0,
4,2.947076559,0,16.4152298,0,1.707071304,0,1.279492497,0,3.397909641,0,0.899267435073853,0.441118121147156,9.22724151611328,4.42340278625488,14.7651386260986,13.7298746109009,78.725456237793,42.599308013916,7.00086259841919,0,0,
5,3.898327112,0,17.93327141,0,1.944631815,0,1.369607925,0,3.908715248,0,1.04414451122284,0.440253794193268,9.00117301940918,3.83093023300171,15.5354804992676,14.0950498580933,78.7294006347656,40.4984169006348,6.01609373092651,0,0,
6,4.883195877,0,19.10092354,0,2.156615257,0,1.439167261,0,4.364075661,0,1.17758584022522,0.452827930450439,8.76115322113037,3.3261661529541,16.2127494812012,14.4468259811401,78.7234649658203,38.5078353881836,5.20478248596191,0,0,
7,5.890369415,0,19.99717712,0,2.348267078,0,1.494419813,0,4.77393055,0,1.29765188694,0.469395369291306,8.51560306549072,2.89630722999573,16.8037662506104,14.7856168746948,78.7103500366211,36.6222343444824,4.53568410873413,0,0,
8,6.911046028,0,20.67746925,0,2.52320075,0,1.539292932,0,5.145508289,0,1.40457510948181,0.485981792211533,8.27088069915771,2.53042960166931,17.3149375915527,15.1117286682129,78.6917877197266,34.8364868164063,3.98328757286072,0,0,
9,7.93816185,0,21.18279648,0,2.684048176,0,1.576393962,0,5.484317303,0,1.4994980096817,0.50109851360321,8.03155040740967,2.21920442581177,17.7522754669189,15.4254531860352,78.6689910888672,33.1456832885742,3.52669882774353,0,0,
10,8.965934753,0,21.54463387,0,2.832807064,0,1.607527375,0,5.79470253,0,1.58385622501373,0.514347910881042,7.80071592330933,1.95466089248657,18.1214199066162,15.727105140686,78.6429061889648,31.5451202392578,3.14877676963806,0,0,
11,9.989570618,0,21.78783035,0,2.971041203,0,1.633982539,0,6.080172062,0,1.65908646583557,0.525779962539673,7.58032941818237,1.72998631000519,18.4276599884033,16.0170249938965,78.6142730712891,30.0302906036377,2.83544373512268,0,0,
12,11.00506306,0,21.93241692,0,3.100006342,0,1.656706452,0,6.343616009,0,1.72650039196014,0.535602390766144,7.37146520614624,1.53935611248016,18.675952911377,16.2955722808838,78.5837249755859,28.5968894958496,2.57513213157654,0,0,
13,12.00904751,0,21.99482346,0,3.220729828,0,1.676409721,0,6.587451935,0,1.78724050521851,0.544055819511414,7.1745433807373,1.37779009342194,18.8709354400635,16.5631160736084,78.5517730712891,27.2408065795898,2.3583345413208,0,0,
14,12.99869728,0,21.98868561,0,3.334067583,0,1.693635345,0,6.813725948,0,1.84227728843689,0.551364898681641,6.9895167350769,1.2410295009613,19.0169525146484,16.820032119751,78.5188751220703,25.9581146240234,2.17723751068115,0,0,
15,13.97164249,0,21.92544937,0,3.440741539,0,1.708805799,0,7.02419281,0,1.89242315292358,0.557722568511963,6.81601142883301,1.12543261051178,19.1180648803711,17.0666847229004,78.4853973388672,24.7450675964355,2.02542114257813,0,0,
