"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0,0,0,0,0,0,0,0,0,0.821012020111084,2.05074501037598,11.4680004119873,10.6930103302002,19.8100891113281,15.0564403533936,86.7992630004883,74.8925323486328,9.93550586700439,0,0,
1,2.92001009,0,8.273603439,0,1.716804266,0,0.9248165488,0,1.941296101,0,0.81234335899353,1.31758117675781,11.1464767456055,9.47154903411865,21.5408763885498,15.4749431610107,86.9641799926758,71.4188613891602,8.46663379669189,0,0,
2,5.332126617,0,8.090614319,0,1.817855597,0,1.040512681,0,2.342899799,0,1.03016650676727,0.978188455104828,10.8497142791748,8.40096378326416,23.1119499206543,15.8812627792358,87.0689544677734,68.1243515014648,7.25881052017212,0,0,
3,7.542290211,0,8.093154907,0,1.944569707,0,1.144500613,0,2.758262634,0,1.23000907897949,0.795922636985779,10.4814205169678,7.45714569091797,24.5336570739746,16.2744178771973,87.1343154907227,64.9983215332031,6.2334418296814,0,0,
4,9.613049507,0,8.159261703,0,2.070454359,0,1.234600186,0,3.17049408,0,1.4148918390274,0.70534747838974,10.0693244934082,6.62556028366089,25.8157062530518,16.6539993286133,87.1731643676758,62.0318145751953,5.36401224136353,0,0,
5,11.57436371,0,8.253602982,0,2.189986944,0,1.312428236,0,3.57555747,0,1.58520638942719,0.6672003865242,9.63343715667725,5.89325046539307,26.9672355651855,17.0198516845703,87.1936492919922,59.2165832519531,4.6272873878479,0,0,
6,13.43923664,0,8.361421585,0,2.301732063,0,1.37968719,0,3.971043587,0,1.74125003814697,0.658274292945862,9.18871974945068,5.24872350692749,27.9968547821045,17.3719902038574,87.2009811401367,56.5449180603027,4.00332403182983,0,0,
7,15.22560501,0,8.475998878,0,2.406135798,0,1.438250899,0,4.357666969,0,1.88361155986786,0.665007412433624,8.74635410308838,4.68179893493652,28.9126758575439,17.7105560302734,87.1986083984375,54.0095634460449,3.47510457038879,0,0,
8,16.93532944,0,8.593082428,0,2.503261089,0,1.48928237,0,4.73374939,0,2.0131151676178,0.679565072059631,8.31457996368408,4.18346452713013,29.7223415374756,18.0357990264893,87.1888885498047,51.6036643981934,3.02814197540283,0,0,
9,18.58118248,0,8.710879326,0,2.594014406,0,1.534111857,0,5.100597382,0,2.1307201385498,0.697492361068726,7.89932441711426,3.74574255943298,30.4330520629883,18.3480453491211,87.173469543457,49.3207397460938,2.65011954307556,0,0,
