AdminBoundaryId,AdminBoundaryName,SoftwoodTopProportion,SoftwoodStumpProportion,HardwoodTopProportion,HardwoodStumpProportion
1,Newfoundland,2.851000071,2.806999922,4.453000069,2.875
2,Labrador,2.851000071,2.806999922,4.453000069,2.875
3,Nova Scotia,2.131999969,2.806999922,3.476999998,2.875
4,Prince Edward Island,3.417999983,2.806999922,5.196000099,2.875
5,New Brunswick,3.417999983,2.806999922,5.196000099,2.875
6,Quebec,5.183000088,2.806999922,7.406000137,2.875
7,Ontario,2.131999969,5.389999866,3.476999998,5.519999981
8,Manitoba,2.851000071,5.389999866,4.453000069,5.519999981
9,Saskatchewan,2.131999969,5.389999866,3.476999998,5.519999981
10,Alberta,2.131999969,5.389999866,3.476999998,5.519999981
11,British Columbia,1.79400003,5.389999866,3.002000093,5.519999981
12,Yukon Territory,7.520999908,5.389999866,10.16899967,5.519999981
13,Northwest Territories,8.067000389,5.389999866,10.79300022,5.519999981
14,Nunavut,8.067000389,5.389999866,10.79300022,5.519999981
