"DefaultSPUID","DefaultForestTypeID","A","B","a_nonmerch","b_nonmerch","k_nonmerch","cap_nonmerch","a_sap","b_sap","k_sap","cap_sap","a1","a2","a3","b1","b2","b3","c1","c2","c3","min_volume","max_volume","low_stemwood_prop","high_stemwood_prop","low_stembark_prop","high_stembark_prop","low_branches_prop","high_branches_prop","low_foliage_prop","high_foliage_prop"
1,1,0.84615,0.87163,10.4807,-0.76681,0.78388,5.3567,0,0,1,1,-1.59039,0.0004206,-0.04664,-0.57277,0.0001466,-0.15263,0.82967,-0.000496,-0.38992,0.1768,347.42,0.35273,0.61808,0.0666,0.11092,0.15478,0.14984,0.42589,0.12116
1,2,0.65285,0.94474,5.6333,-0.33202,0,3.743,0,0,1,1,-1.60609,0.0001927,-0.02441,-0.66134,0.0025143,-0.14025,0.38131,0.001084,-0.41923,0.5366,260.64,0.43216,0.54779,0.08318,0.10086,0.1757,0.24888,0.30896,0.10247
1,3,1.37682,0.82513,2.4717,-0.10956,0,2.4096,0,0,1,1,-1.60609,0.0001927,-0.02441,-0.66134,0.0025143,-0.14025,0.38131,0.001084,-0.41923,0.5366,260.64,0.43216,0.54779,0.08318,0.10086,0.1757,0.24888,0.30896,0.10247
3,1,0.75119,0.90449,7.2241,-0.46283,0,6.1299,0,0,1,1,-1.36585,7.03e-05,-0.08434,-0.60697,-0.0002703,-0.11763,0.56243,-0.001445,-0.34534,0.5917,268.06,0.37974,0.62668,0.0838,0.10152,0.169,0.16421,0.36746,0.10759
3,2,1.18821,0.83232,2.4717,-0.10956,0,2.4096,0,0,1,1,-1.60609,0.0001927,-0.02441,-0.66134,0.0025143,-0.14025,0.38131,0.001084,-0.41923,0.5366,260.64,0.43216,0.54779,0.08318,0.10086,0.1757,0.24888,0.30896,0.10247
3,3,1.37682,0.82513,2.4717,-0.10956,0,2.4096,0,0,1,1,-1.60609,0.0001927,-0.02441,-0.66134,0.0025143,-0.14025,0.38131,0.001084,-0.41923,0.5366,260.64,0.43216,0.54779,0.08318,0.10086,0.1757,0.24888,0.30896,0.10247
4,1,0.84615,0.87163,10.4807,-0.76681,0.78388,5.3567,0,0,1,1,-1.59039,0.0004206,-0.04664,-0.57277,0.0001466,-0.15263,0.82967,-0.000496,-0.38992,0.1768,347.42,0.35273,0.61808,0.0666,0.11092,0.15478,0.14984,0.42589,0.12116
4,2,0.65285,0.94474,5.6333,-0.33202,0,3.743,0,0,1,1,-1.60609,0.0001927,-0.02441,-0.66134,0.0025143,-0.14025,0.38131,0.001084,-0.41923,0.5366,260.64,0.43216,0.54779,0.08318,0.10086,0.1757,0.24888,0.30896,0.10247
4,3,1.37682,0.82513,2.4717,-0.10956,0,2.4096,0,0,1,1,-1.60609,0.0001927,-0.02441,-0.66134,0.0025143,-0.14025,0.38131,0.001084,-0.41923,0.5366,260.64,0.43216,0.54779,0.08318,0.10086,0.1757,0.24888,0.30896,0.10247
5,1,0.51769,0.95311,5.4317,-0.87278,0.93305,2.7531,1,0,0,1,-1.37852,-0.0002833,-0.07308,0.66309,0.0011636,-0.4132,0.02152,0.000177,-0.38042,0.1364,1061.85,0.36245,0.63558,0.08102,0.07121,0.3578,0.23797,0.19872,0.05523
