DefaultSPUId,DefaultGenusId,A,B,a_nonmerch,b_nonmerch,k_nonmerch,cap_nonmerch,a_sap,b_sap,k_sap,cap_sap,a1,a2,a3,b1,b2,b3,c1,c2,c3,min_volume,max_volume,low_stemwood_prop,high_stemwood_prop,low_stembark_prop,high_stembark_prop,low_branches_prop,high_branches_prop,low_foliage_prop,high_foliage_prop
1,1,0.82803,0.8874,10.0977,-0.79596,0.82111,5.2264,0.35,-1.2107,0.99933,1.01224,-1.51764,-0.0001632,-0.06254,-0.45753,-0.0001502,-0.164,0.73909,-0.00077,-0.36568,0.177,347.42,0.35352,0.64071,0.06993,0.09197,0.17084,0.14709,0.40571,0.12024
1,3,0.76516,0.88423,10.521,-0.7341,0.74082,5.3591,1.671,-1.44118,0.99769,1.02808,-1.76822,0.0001923,0.0083,-0.75827,0.0001945,-0.1164,0.91714,-0.000226,-0.41637,0.312,332.58,0.35625,0.60598,0.06164,0.11569,0.13742,0.15379,0.44469,0.12454
1,8,0.84615,0.87163,10.4807,-0.76681,0.78388,5.3567,0,0,1,1,-1.59039,0.0004206,-0.04664,-0.57277,0.0001466,-0.15263,0.82967,-0.000496,-0.38992,0.177,347.42,0.35273,0.61808,0.0666,0.11092,0.15478,0.14984,0.42589,0.12116
1,10,1.06467,0.87171,5.855,-0.35893,0,4.1513,0.285,-0.97536,0.99441,1.02325,-1.64494,7.04e-05,-0.01577,-0.74249,0.0031867,-0.16444,-0.87363,0.000616,-0.19333,0.743,123.13,0.54244,0.59745,0.10186,0.10776,0.19412,0.18952,0.16157,0.10528
1,13,1.37682,0.82513,2.4717,-0.10956,0,2.4096,0,0,1,1,-1.60609,0.0001927,-0.02441,-0.66134,0.0025143,-0.14025,0.38131,0.001084,-0.41923,0.537,260.64,0.43216,0.54779,0.08318,0.10086,0.1757,0.24888,0.30896,0.10247
3,1,0.74274,0.91303,10.0977,-0.79596,0.82111,5.2264,0.35,-1.2107,0.99933,1.01224,-1.32061,-4.63E-05,-0.09497,-0.60153,-0.0009856,-0.10349,0.42605,-0.001504,-0.31552,0.199,243.75,0.38459,0.63051,0.0878,0.09857,0.17766,0.15352,0.34996,0.11739
3,3,0.81312,0.87771,7.8908,-0.48014,0,6.3948,1.671,-1.44118,0.99769,1.02808,-1.48073,0.0002364,-0.05648,-0.73259,0.001152,-0.12206,0.68052,-0.001583,-0.3667,0.649,268.06,0.3786,0.59818,0.07811,0.1056,0.14742,0.19743,0.39587,0.09878
3,8,0.75119,0.90449,7.2241,-0.46283,0,6.1299,0,0,1,1,-1.36585,7.03e-05,-0.08434,-0.60697,-0.0002703,-0.11763,0.56243,-0.001445,-0.34534,0.592,268.06,0.37974,0.62668,0.0838,0.10152,0.169,0.16421,0.36746,0.10759
3,10,1.06467,0.87171,5.855,-0.35893,0,4.1513,0.285,-0.97536,0.99441,1.02325,-1.64494,7.04e-05,-0.01577,-0.74249,0.0031867,-0.16444,-0.87363,0.000616,-0.19333,0.743,123.13,0.54244,0.59745,0.10186,0.10776,0.19412,0.18952,0.16157,0.10528
3,13,1.37682,0.82513,2.4717,-0.10956,0,2.4096,0,0,1,1,-1.60609,0.0001927,-0.02441,-0.66134,0.0025143,-0.14025,0.38131,0.001084,-0.41923,0.537,260.64,0.43216,0.54779,0.08318,0.10086,0.1757,0.24888,0.30896,0.10247
