DefaultSPUId,DefaultSpeciesTypeId,A,B,a_nonmerch,b_nonmerch,k_nonmerch,cap_nonmerch,a_sap,b_sap,k_sap,cap_sap,a1,a2,a3,b1,b2,b3,c1,c2,c3,min_volume,max_volume,low_stemwood_prop,high_stemwood_prop,low_stembark_prop,high_stembark_prop,low_branches_prop,high_branches_prop,low_foliage_prop,high_foliage_prop
1,2,0.8046,0.89351,10.635,-0.83681,0.878,5.251,0.35,-1.2107,0.99933,1.01224,-1.51885,-0.00018,-0.0618,-0.50409,-0.00028,-0.15096,0.7094,-0.00075,-0.36064,0.177,323.76,0.35811,0.63625,0.07084,0.09187,0.16876,0.14636,0.40229,0.12552
1,6,1.216,0.80791,5.84,-0.39191,0,4.6207,0.35,-1.2107,0.99933,1.01224,-1.51897,0.000102,-0.07273,0.29423,0.00099,-0.34605,1.2291,-0.00227,-0.39512,0.805,347.42,0.27575,0.64508,0.05313,0.0955,0.20152,0.1607,0.4696,0.09872
1,13,1.0175,0.82995,6.1983,-0.88217,0.94853,2.1142,0,0,1,1,-1.73568,-6.40E-05,-0.0263,-1.66042,-0.00023,0.03481,-0.7041,0.00056,-0.34668,1.23,835.86,0.61239,0.70688,0.10287,0.09894,0.12401,0.13999,0.16074,0.05419
1,20,0.9765,0.85057,2.3721,-0.58826,0.89493,1.5785,0,0,1,1,-2.13905,-0.000459,0.01813,-1.2029,-7.00E-05,-0.09094,-0.5516,0.00093,-0.3485,8.59,506.8,0.62751,0.72791,0.07717,0.07605,0.14855,0.11949,0.14676,0.07654
1,29,0.7652,0.88423,10.521,-0.7341,0.74082,5.3591,1.671,-1.44118,0.99769,1.02808,-1.76822,0.000192,0.0083,-0.75827,0.00019,-0.1164,0.9171,-0.00023,-0.41637,0.312,332.58,0.35625,0.60598,0.06164,0.11569,0.13742,0.15379,0.44469,0.12454
1,44,1.1018,0.83494,11.4145,-1.08262,0.99561,2.3292,0,0,1,1,-1.86554,0.000196,-0.06568,-1.38585,0.00074,-0.10448,-1.6028,-0.00099,-0.11724,0.32,263.16,0.66039,0.73372,0.09161,0.08283,0.13874,0.12435,0.10926,0.0591
1,63,1.1179,0.82147,13.0391,-1.07068,0.95229,2.5254,0,0,1,1,-1.40387,0.000245,-0.05723,-1.59301,-0.00019,-0.01962,-1.9031,-0.00134,-0.12052,0.32,576.63,0.64858,0.71989,0.1448,0.1415,0.1276,0.11556,0.07903,0.02305
1,65,0.9666,0.86661,6.2892,-0.82426,0.9099,2.5863,0,0,1,1,-1.23466,-1.10E-05,-0.09545,-1.36951,2e-04,-0.05295,-2.5826,-0.00152,-0.01924,1.11,620.18,0.64571,0.72074,0.15805,0.11268,0.14919,0.14785,0.04705,0.01874
1,74,1.0608,0.85596,12.641,-1.19872,0.97793,1.8768,0.285,-0.97536,0.99441,1.02325,-1.89528,-0.00017,0.00072,-0.96097,7e-04,-0.03514,-1.9712,-0.00048,-0.14027,0.53,425.88,0.61715,0.62269,0.09285,0.08743,0.22239,0.25969,0.06761,0.03019
1,76,1.0647,0.87171,5.855,-0.35893,0,4.1513,0.285,-0.97536,0.99441,1.02325,-1.64494,7e-05,-0.01577,-0.74249,0.00319,-0.16444,-0.8736,0.00062,-0.19333,0.743,123.13,0.54244,0.59745,0.10186,0.10776,0.19412,0.18952,0.16157,0.10528
1,86,1.2059,0.83609,5.6472,-0.85349,0.93176,1.8758,0,0,1,1,-1.85834,-0.000337,-0.00649,-1.50842,2e-05,0.03656,-2.145,-0.0012,-0.07446,0.48,362.28,0.66991,0.6856,0.1033,0.09105,0.15774,0.18992,0.06906,0.03343
1,93,1.5119,0.8097,22.6137,-1.274,0.98144,1.996,0,0,1,1,-1.90715,-0.000683,-0.01519,-2.55804,-0.00105,0.29661,-1.4609,-0.00059,-0.30459,0.28,496.33,0.70854,0.70751,0.10257,0.06812,0.08987,0.20594,0.09902,0.01843
1,153,2.91,0.64885,33.3279,-1.52852,1.051,1.9152,0,0,1,1,-1.29305,0.000417,-0.06675,-1.62733,-0.001,0.00488,-2.4031,-0.00353,-0.01772,0.35,121.39,0.65313,0.69382,0.16028,0.145,0.12932,0.12366,0.05727,0.03753
1,171,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,0.7427,0.91303,10.635,-0.83681,0.878,5.251,0.35,-1.2107,0.99933,1.01224,-1.32061,-4.60E-05,-0.09497,-0.60153,-0.00099,-0.10349,0.4261,-0.0015,-0.31552,0.199,240.79,0.38459,0.62942,0.0878,0.09852,0.17766,0.1539,0.34996,0.11816
3,6,1.216,0.80791,5.84,-0.39191,0,4.6207,0.35,-1.2107,0.99933,1.01224,-1.51897,0.000102,-0.07273,0.29423,0.00099,-0.34605,1.2291,-0.00227,-0.39512,0.805,347.42,0.27575,0.64508,0.05313,0.0955,0.20152,0.1607,0.4696,0.09872
3,13,1.0175,0.82995,6.1983,-0.88217,0.94853,2.1142,0,0,1,1,-1.73568,-6.40E-05,-0.0263,-1.66042,-0.00023,0.03481,-0.7041,0.00056,-0.34668,1.23,835.86,0.61239,0.70688,0.10287,0.09894,0.12401,0.13999,0.16074,0.05419
3,29,0.8131,0.87771,7.8908,-0.48014,0,6.3948,1.671,-1.44118,0.99769,1.02808,-1.48073,0.000236,-0.05648,-0.73259,0.00115,-0.12206,0.6805,-0.00158,-0.3667,0.649,268.06,0.3786,0.59818,0.07811,0.1056,0.14742,0.19743,0.39587,0.09878
3,44,1.1018,0.83494,11.4145,-1.08262,0.99561,2.3292,0,0,1,1,-1.86554,0.000196,-0.06568,-1.38585,0.00074,-0.10448,-1.6028,-0.00099,-0.11724,0.32,263.16,0.66039,0.73372,0.09161,0.08283,0.13874,0.12435,0.10926,0.0591
3,63,1.1179,0.82147,13.0391,-1.07068,0.95229,2.5254,0,0,1,1,-1.40387,0.000245,-0.05723,-1.59301,-0.00019,-0.01962,-1.9031,-0.00134,-0.12052,0.32,576.63,0.64858,0.71989,0.1448,0.1415,0.1276,0.11556,0.07903,0.02305
3,65,0.9666,0.86661,6.2892,-0.82426,0.9099,2.5863,0,0,1,1,-1.23466,-1.10E-05,-0.09545,-1.36951,2e-04,-0.05295,-2.5826,-0.00152,-0.01924,1.11,620.18,0.64571,0.72074,0.15805,0.11268,0.14919,0.14785,0.04705,0.01874
3,74,1.0608,0.85596,12.641,-1.19872,0.97793,1.8768,0.285,-0.97536,0.99441,1.02325,-1.89528,-0.00017,0.00072,-0.96097,7e-04,-0.03514,-1.9712,-0.00048,-0.14027,0.53,425.88,0.61715,0.62269,0.09285,0.08743,0.22239,0.25969,0.06761,0.03019
3,76,1.0647,0.87171,5.855,-0.35893,0,4.1513,0.285,-0.97536,0.99441,1.02325,-1.64494,7e-05,-0.01577,-0.74249,0.00319,-0.16444,-0.8736,0.00062,-0.19333,0.743,123.13,0.54244,0.59745,0.10186,0.10776,0.19412,0.18952,0.16157,0.10528
3,86,1.2059,0.83609,5.6472,-0.85349,0.93176,1.8758,0,0,1,1,-1.85834,-0.000337,-0.00649,-1.50842,2e-05,0.03656,-2.145,-0.0012,-0.07446,0.48,362.28,0.66991,0.6856,0.1033,0.09105,0.15774,0.18992,0.06906,0.03343
3,93,1.5119,0.8097,22.6137,-1.274,0.98144,1.996,0,0,1,1,-1.90715,-0.000683,-0.01519,-2.55804,-0.00105,0.29661,-1.4609,-0.00059,-0.30459,0.28,496.33,0.70854,0.70751,0.10257,0.06812,0.08987,0.20594,0.09902,0.01843
3,171,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
