"DefaultSPUID","Year","MeanAnnualTemp","MeanAnnualPrecip"
1,1980,3.36999988555908,1292.01000976562
1,1981,3.36999988555908,1292.01000976562
3,1980,-1.86000001430511,1082.23999023438
3,1981,-1.86000001430511,1082.23999023438
4,1980,-1.10000002384186,1044.05004882812
4,1981,-1.10000002384186,1044.05004882812
5,1980,5.8600001335144,1386.66003417969
5,1981,5.8600001335144,1386.66003417969
6,1980,5.3600001335144,1122.46997070312
6,1981,5.3600001335144,1122.46997070312
7,1980,3.91000008583069,1134.25
7,1981,3.91000008583069,1134.25
11,1980,2.54999995231628,1120.46997070312
11,1981,2.54999995231628,1120.46997070312
12,1980,5.07999992370605,1102.97998046875
12,1981,5.07999992370605,1102.97998046875
13,1980,-1.6599999666214,738.25
13,1981,-1.6599999666214,738.25
14,1980,-4.88000011444092,729.969970703125
14,1981,-4.88000011444092,729.969970703125
15,1980,0.360000014305115,995.289978027344
15,1981,0.360000014305115,995.289978027344
16,1980,0.469999998807907,714.289978027344
16,1981,0.469999998807907,714.289978027344
17,1980,6.32000017166138,916.059997558594
17,1981,6.32000017166138,916.059997558594
18,1980,-0.0700000002980232,733.140014648438
18,1981,-0.0700000002980232,733.140014648438
19,1980,2.04999995231628,873
19,1981,2.04999995231628,873
21,1980,-6.09999990463257,445.25
21,1981,-6.09999990463257,445.25
22,1980,-1.04999995231628,521.380004882812
22,1981,-1.04999995231628,521.380004882812
23,1980,0.310000002384186,502.670013427734
23,1981,0.310000002384186,502.670013427734
24,1980,2.03999996185303,499.440002441406
24,1981,2.03999996185303,499.440002441406
25,1980,-5,456.089996337891
25,1981,-5,456.089996337891
26,1980,-5.26999998092651,414.700012207031
26,1981,-5.26999998092651,414.700012207031
27,1980,-1.64999997615814,499
27,1981,-1.64999997615814,499
28,1980,-0.129999995231628,462.480010986328
28,1981,-0.129999995231628,462.480010986328
29,1980,1.62000000476837,421.769989013672
29,1981,1.62000000476837,421.769989013672
30,1980,2.54999995231628,386.540008544922
30,1981,2.54999995231628,386.540008544922
31,1980,-2.41000008583069,425.579986572266
31,1981,-2.41000008583069,425.579986572266
32,1980,-2.97000002861023,371.480010986328
32,1981,-2.97000002861023,371.480010986328
33,1980,-1.54999995231628,414.799987792969
33,1981,-1.54999995231628,414.799987792969
34,1980,0.25,487.899993896484
34,1981,0.25,487.899993896484
35,1980,2.46000003814697,487.059997558594
35,1981,2.46000003814697,487.059997558594
36,1980,-0.189999997615814,750.289978027344
36,1981,-0.189999997615814,750.289978027344
37,1980,3.47000002861023,526.010009765625
37,1981,3.47000002861023,526.010009765625
38,1980,-1.0900000333786,485.720001220703
38,1981,-1.0900000333786,485.720001220703
39,1980,0.579999983310699,514
39,1981,0.579999983310699,514
40,1980,-2.30999994277954,535.179992675781
40,1981,-2.30999994277954,535.179992675781
41,1980,5.21000003814697,1995.11999511719
41,1981,5.21000003814697,1995.11999511719
42,1980,1.69000005722046,728.52001953125
42,1981,1.69000005722046,728.52001953125
44,1980,-2.36999988555908,503.339996337891
44,1981,-2.36999988555908,503.339996337891
45,1980,-6.69999980926514,488.429992675781
45,1981,-6.69999980926514,488.429992675781
46,1980,-4.46000003814697,419.309997558594
46,1981,-4.46000003814697,419.309997558594
47,1980,-9.17000007629395,724.059997558594
47,1981,-9.17000007629395,724.059997558594
50,1980,-5.82000017166138,348.609985351562
50,1981,-5.82000017166138,348.609985351562
51,1980,-6.80000019073486,284.140014648438
51,1981,-6.80000019073486,284.140014648438
52,1980,-3.32999992370605,326.579986572266
52,1981,-3.32999992370605,326.579986572266
53,1980,-6.42999982833862,516.5
53,1981,-6.42999982833862,516.5
54,1980,-4.51999998092651,555.429992675781
54,1981,-4.51999998092651,555.429992675781
58,1980,-8.90999984741211,344.350006103516
58,1981,-8.90999984741211,344.350006103516
59,1980,-2.24000000953674,630.630004882812
59,1981,-2.24000000953674,630.630004882812
