"DMID","Name","Description","DMStructureID"
2,"Stand Replacing Matrix #2","Wildfire Matrix #2 (Stand Replacing).  Used for simulations pre-fall 2006 in the Taiga Plains, Taiga Shield West, and Taiga Shield East ecozones",2
3,"Stand Replacing Matrix #3","Wildfire Matrix #3 (Stand Replacing).  Used for simulations pre-fall 2006 in the Boreal Shield West and Boreal Plains ecozones",2
4,"Stand Replacing Matrix #4","Wildfire Matrix #4 (Stand Replacing).  Used for simulations pre-fall 2006 in the Atlantic Maritime and Mixedwood Plains ecozones",2
5,"Stand Replacing Matrix #5","Wildfire Matrix #5 (Stand Replacing).  Used for simulations pre-fall 2006 in the Prairies ecozone",2
6,"Stand Replacing Matrix #6","Wildfire Matrix #6 (Stand Replacing).  Used for simulations pre-fall 2006 in the Taiga Cordillera ecozone",2
7,"Stand Replacing Matrix #7","Wildfire Matrix #7 (Stand Replacing).  Used for simulations pre-fall 2006 in the Boreal Cordillera and Montane Cordillera ecozones",2
8,"Stand Replacing Matrix #8","Wildfire Matrix #8 (Stand Replacing).  Used for simulations pre-fall 2006 in the Pacific Maritime ecozone",2
9,"Stand Replacing Matrix #9","Wildfire Matrix #9 (Stand Replacing).  Used for simulations pre-fall 2006 in the Hudson Plains and Boreal Shield East ecozones",2
10,"Stand Replacing Matrix #10","Insect Matrix #1 (Stand Replacing). Traditionally used for all ecozones across Canada.",2
16,"Stand Replacing Matrix #16","Clear-cutting with Salvage Matrix  #1 (Stand Replacing).  Traditionally used for all ecozones across Canada.",2
18,"Stand Replacing Matrix #18","Wildfire followed by Salvage Logging Matrix #2 (Stand Replacing). Traditionally used in the Taiga Plains, Taiga Shield West, and Taiga Shield East ecozones.",2
19,"Stand Replacing Matrix #19","Wildfire followed by Salvage Logging Matrix #3 (Stand Replacing). Traditionally used in the Boreal Shield West and Boreal Plains ecozones.",2
20,"Stand Replacing Matrix #20","Wildfire followed by Salvage Logging Matrix #4 (Stand Replacing). Traditionally used in the Atlantic Maritime and Mixedwood plains ecozones.",2
21,"Stand Replacing Matrix #21","Wildfire followed by Salvage Logging Matrix #5 (Stand Replacing). Traditionally used in the Prairies and Taiga Cordillera ecozones.",2
22,"Stand Replacing Matrix #22","Wildfire followed by Salvage Logging Matrix #6 (Stand Replacing). Traditionally used in the Boreal Cordillera and Montane Cordillera ecozones.",2
23,"Stand Replacing Matrix #23","Wildfire followed by Salvage Logging Matrix #7 (Stand Replacing). Traditionally used in the Pacific Maritime ecozone.",2
24,"Stand Replacing Matrix #24","Wildfire followed by Salvage Logging Matrix #8 (Stand Replacing). Traditionally used in the Hudson Plains and Boreal Shield East ecozones.",2
25,"Stand Replacing Matrix #25","Insects followed by Salvage Logging Matrix #1 (Stand Replacing). Traditionally used for all ecozones across Canada.",2
26,"Stand Replacing Matrix #26","Deforestation Matrix #1 (Stand Replacing). Traditionally used for all ecozones across Canada.",2
27,"No Stock Change Matrix #1","No Stock Change Matrix #1. Traditionally used for activities that have no immediate stock change impacts (such as Afforestation, conversion of nonforest to forest land, etc.) in all ecozones across Canada.",2
28,"Partial Disturbance Matrix #1","Partial Cutting Matrix #1. Traditionally used for all ecozones across Canada.",2
29,"Partial Disturbance Matrix #2","Western Jack Pine Budworm Year 1 Matrix. Traditionally used for Boreal Shield West, Boreal Plains, Pairies, and Taiga Shield West ecozones.",2
30,"Partial Disturbance Matrix #3","Western Jack Pine Budworm Year 2 Matrix. Traditionally used for Boreal Shield West, Boreal Plains, Pairies, and Taiga Shield West ecozones.",2
31,"Partial Disturbance Matrix #4","Western Jack Pine Bud Worm Year 3 Matrix. Traditionally used for Boreal Shield West, Boreal Plains, Pairies, and Taiga Shield West ecozones.",2
32,"Partial Disturbance Matrix #5","Western Jack Pine Bud Worm Year 4 Matrix. Traditionally used for Boreal Shield West, Boreal Plains, Pairies, and Taiga Shield West ecozones.",2
33,"Partial Disturbance Matrix #6","Aspen Defoliators Type A Matrix. Traditionally used for Boreal Shield West, Boreal Plains, Prairies, and Taiga Shield West ecozones.",2
34,"Partial Disturbance Matrix #7","Aspen Defoliators Type B Matrix. Traditionally used for Boreal Shield West, Boreal Plains, Prairies, and Taiga Shield West ecozones.",2
35,"Partial Disturbance Matrix #8","Aspen Defoliators Type C Matrix. Traditionally used for Boreal Shield West, Boreal Plains, Prairies, and Taiga Shield West ecozones.",2
36,"Partial Disturbance Matrix #9","Aspen Defoliators Type D Matrix. Traditionally used for Boreal Shield West, Boreal Plains, Prairies, and Taiga Shield West ecozones.",2
37,"Partial Disturbance Matrix #10","Aspen Defoliators Type E Matrix. Traditionally used for Boreal Shield West, Boreal Plains, Prairies, and Taiga Shield West ecozones.",2
38,"Partial Disturbance Matrix #11","Aspen Defoliators Type F Matrix. Traditionally used for Boreal Shield West, Boreal Plains, Prairies, and Taiga Shield West ecozones.",2
43,"2 % mortality disturbance matrix","Generic 2 % mortality disturbance matrix",2
67,"20 % mortality disturbance matrix","Generic 20 % mortality disturbance matrix",2
78,"Salvage after fire matrix","Stand replacing salvage with 55% of fire killed stem snag C recovery to products. (Traditionally used anywhere in Canada)",2
79,"Salvage after insects matrix","Stand replacing salvage with 72% of insect killed stem snag C recovery to products, and clearcut of green wood. (Traditionally used anywhere in Canada)",2
80,"Generic 7% SW mortality disturbance matrix","Generic 7% SW mortality disturbance matrix",2
81,"Generic 15% SW mortality disturbance matrix","Generic 15% SW mortality disturbance matrix",2
83,"Hemlock Looper - 4% mortality","Hemlock looper - Light defoliation with 4% softwood mortality",2
84,"Hemlock Looper - 32% mortality","Hemlock looper - Moderate defoliation with 32% softwood mortality",2
85,"Hemlock Looper - 32% mortality","Hemlock looper - Severe defoliation with 32% softwood mortality",2
86,"Hemlock Looper - 70% mortality","Hemlock looper - Severe cumulative defoliation with 70% softwood mortality",2
87,"Generic 10% SW Mortality","Generic 10% softwood mortality",2
88,"Generic 5% mortality","Generic 5% mortality",2
89,"Generic 10% mortality","Generic 10% mortality",2
90,"Generic 15% mortality","Generic 15% mortality",2
91,"Generic 20% mortality","Generic 20% mortality",2
92,"Generic 25% mortality","Generic 25% mortality",2
93,"Generic 30% mortality","Generic 30% mortality",2
94,"Generic 35% mortality","Generic 35% mortality",2
95,"Generic 40% mortality","Generic 40% mortality",2
96,"Generic 45% mortality","Generic 45% mortality",2
97,"Generic 50% mortality","Generic 50% mortality",2
98,"Generic 55% mortality","Generic 55% mortality",2
99,"Generic 60% mortality","Generic 60% mortality",2
100,"Generic 65% mortality","Generic 65% mortality",2
101,"Generic 70% mortality","Generic 70% mortality",2
102,"Generic 75% mortality","Generic 75% mortality",2
103,"Generic 80% mortality","Generic 80% mortality",2
104,"Generic 85% mortality","Generic 85% mortality",2
105,"Generic 90% mortality","Generic 90% mortality",2
106,"Generic 95% mortality","Generic 95% mortality",2
107,"25% Commercial thinning","25% Commercial thinning",2
108,"30% Commercial thinning","30% Commercial thinning",2
109,"35% Commercial thinning","35% Commercial thinning",2
110,"40% Commercial thinning","40% Commercial thinning",2
111,"45% Commercial thinning","45% Commercial thinning",2
