DefaultDisturbanceTypeId,DefaultEcoBoundaryId,AnnualOrder,DMId,Name,Description
0,4,1,27,Unknown-Taiga Plains DM,Default Unknown Disturbance Matrix for Taiga Plains ecozone
0,5,1,27,Unknown-Taiga Shield West DM,Default Unknown Disturbance Matrix for Taiga Shield West ecozone
0,6,1,27,Unknown-Boreal Shield West DM,Default Unknown Disturbance Matrix for Boreal Shield West ecozone
0,7,1,27,Unknown-Atlantic Maritime DM,Default Unknown Disturbance Matrix for Atlantic Maritime ecozone
0,8,1,27,Unknown-Mixedwood Plains DM,Default Unknown Disturbance Matrix for Mixedwood Plains ecozone
0,9,1,27,Unknown-Boreal plains DM,Default Unknown Disturbance Matrix for Boreal plains ecozone
0,10,1,27,Unknown-Subhumid Prairies DM,Default Unknown Disturbance Matrix for Subhumid Prairies ecozone
0,11,1,27,Unknown-Taiga Cordillera DM,Default Unknown Disturbance Matrix for Taiga Cordillera ecozone
0,12,1,27,Unknown-Boreal Cordillera DM,Default Unknown Disturbance Matrix for Boreal Cordillera ecozone
0,13,1,27,Unknown-Pacific Maritime DM,Default Unknown Disturbance Matrix for Pacific Maritime ecozone
0,14,1,27,Unknown-Montane Cordillera DM,Default Unknown Disturbance Matrix for Montane Cordillera ecozone
0,15,1,27,Unknown-Hudson Plains DM,Default Unknown Disturbance Matrix for Hudson Plains ecozone
0,16,1,27,Unknown-Taiga Shield East DM,Default Unknown Disturbance Matrix for Taiga Shield East ecozone
0,17,1,27,Unknown-Boreal Shield East DM,Default Unknown Disturbance Matrix for Boreal Shield East ecozone
0,18,1,27,Unknown-Semiarid Prairies DM,Default Unknown Disturbance Matrix for Semiarid Prairies ecozone
1,4,1,281,Wild Fire-Taiga Plains DM,Default Wild Fire Disturbance Matrix for Taiga Plains ecozone
1,5,1,282,Wild Fire-Taiga Shield West DM,Default Wild Fire Disturbance Matrix for Taiga Shield West ecozone
1,6,1,284,Wild Fire-Boreal Shield West DM,Default Wild Fire Disturbance Matrix for Boreal Shield West ecozone
1,7,1,286,Wild Fire-Atlantic Maritime DM,Default Wild Fire Disturbance Matrix for Atlantic Maritime ecozone
1,8,1,287,Wild Fire-Mixedwood Plains DM,Default Wild Fire Disturbance Matrix for Mixedwood Plains ecozone
1,9,1,285,Wild Fire-Boreal plains DM,Default Wild Fire Disturbance Matrix for Boreal plains ecozone
1,10,1,288,Wild Fire-Subhumid Prairies DM,Default Wild Fire Disturbance Matrix for Subhumid Prairies ecozone
1,11,1,289,Wild Fire-Taiga Cordillera DM,Default Wild Fire Disturbance Matrix for Taiga Cordillera ecozone
1,12,1,290,Wild Fire-Boreal Cordillera DM,Default Wild Fire Disturbance Matrix for Boreal Cordillera ecozone
1,13,1,292,Wild Fire-Pacific Maritime DM,Default Wild Fire Disturbance Matrix for Pacific Maritime ecozone
1,14,1,291,Wild Fire-Montane Cordillera DM,Default Wild Fire Disturbance Matrix for Montane Cordillera ecozone
1,15,1,293,Wild Fire-Hudson Plains DM,Default Wild Fire Disturbance Matrix for Hudson Plains ecozone
1,16,1,283,Wild Fire-Taiga Shield East DM,Default Wild Fire Disturbance Matrix for Taiga Shield East ecozone
1,17,1,294,Wild Fire-Boreal Shield East DM,Default Wild Fire Disturbance Matrix for Boreal Shield East ecozone
