"DMID","DMRow","DMColumn","Proportion"
34,3,3,1
34,4,4,1
34,5,5,1
34,6,6,1
34,7,7,1
34,8,8,0.5
34,8,13,0.449999988079071
34,8,26,0.0500000007450581
34,9,9,1
34,10,10,1
34,11,11,1
34,12,12,1
34,13,13,1
34,14,14,1
34,15,15,1
34,16,16,1
34,17,17,1
34,18,18,1
34,19,19,1
34,20,20,1
34,21,21,1
34,22,22,1
34,23,23,1
34,24,24,1
34,25,25,1
35,1,1,1
35,2,2,1
35,3,3,1
35,4,4,1
35,5,5,1
35,6,6,1
35,7,7,0.75
35,7,22,0.25
35,8,8,0.5
35,8,13,0.449999988079071
35,8,26,0.0500000007450581
35,9,9,0.75
35,9,15,0.189999997615814
35,9,23,0.0599999986588955
35,10,10,0.75
35,10,15,0.189999997615814
35,10,23,0.0599999986588955
35,11,11,0.75
35,11,15,0.129999995231628
35,11,16,0.119999997317791
35,12,12,0.75
35,12,13,0.129999995231628
35,12,14,0.119999997317791
35,13,13,1
35,14,14,1
35,15,15,1
35,16,16,1
35,17,17,1
35,18,18,1
35,19,19,1
35,20,20,1
35,21,21,1
35,22,22,1
35,23,23,1
35,24,24,1
35,25,25,1
36,1,1,1
36,2,2,1
36,3,3,1
36,4,4,1
36,5,5,1
36,6,6,1
36,7,7,0.699999988079071
36,7,22,0.300000011920929
36,8,8,0.5
36,8,13,0.449999988079071
36,8,26,0.0500000007450581
36,9,9,0.699999988079071
36,9,15,0.224999994039536
36,9,23,0.0750000029802322
36,10,10,0.699999988079071
36,10,15,0.224999994039536
36,10,23,0.0750000029802322
36,11,11,0.699999988079071
36,11,15,0.150000005960464
36,11,16,0.150000005960464
36,12,12,0.699999988079071
36,12,13,0.150000005960464
36,12,14,0.150000005960464
36,13,13,1
36,14,14,1
36,15,15,1
36,16,19,1
36,17,17,1
36,18,18,1
36,19,19,1
36,20,20,1
36,21,21,1
36,22,22,1
36,23,23,1
36,24,24,1
36,25,25,1
37,1,1,1
37,2,2,1
37,3,3,1
37,4,4,1
37,5,5,1
37,6,6,1
