DistTypeId,DistTypeName,OnOffSwitch,Description,IsStandReplacing,IsMultiYear,MultiYearCount
0,Unknown,0,Unknown disturbance type.,0,0,0
1,Wildfire,0,Wildfire causing stand mortality.,1,0,0
2,Insect disturbance,0,Insect infestations resulting in stand mortality.,1,0,0
3,Clear-cut with slash-burn,0,"Applies to areas that were clearcut and slash–burned in the same year.  It is assumed that this will remain as ""forestry"" land use.",1,0,0
4,Clearcut harvesting with salvage,0,Applies to areas where clearcut logging occurs. Salvage moves 50% of stem snags to the forest products sector.,1,0,0
5,Fire with salvage logging,0,"Applies to areas where a non stand–replacing fire occurred followed by salvage logging.  This sequence of events is assumed to have occurred in the same year.  Also, it is assumed that this will remain as ""forestry"" land use.",1,0,0
6,Insect disturbance with salvage logging,0,"Applies to areas where an insect infestation has/may occur and is subsequently salvage logged.  This sequence of events is assumed to have occurred in the same year.  Also, it is assumed that this will remain as ""forestry"" land use.",1,0,0
7,Deforestation,0,"The conversion of forested land to a nonforest land use, for example, forest to agricultural land.",1,0,0
8,Afforestation,0,The conversion of land that has been nonforest for at least 50 years to forested land.,0,0,0
9,Natural nonforest rehabilitation,0,Natural conversion of land from nonforest to forest. This will not cause immediate C stock changes.,0,0,0
10,Partial cutting,0,Partial cutting removes 50% of the merchantable biomass from a stand.,0,0,0
11,Natural succession,0,For users who explicitly model natural succession in stands as events. No stock changes are associatied with this disturbance type.,0,0,0
12,WJPBW — Year 1 of outbreak,0,Western jack pine budworm — Year 1 of outbreak,0,0,0
13,WJPBW — Year 2 of outbreak,0,Western jack pine budworm — Year 2 of outbreak,0,0,0
14,WJPBW — Year 3 of outbreak,0,Western jack pine budworm — Year 3 of outbreak,0,0,0
15,WJPBW — Year 4 of outbreak,0,Western jack pine budworm — Year 4 of outbreak,0,0,0
16,Aspen Defoliators — Type A,0,Aspen defoliators — Type A,0,0,0
17,Aspen Defoliators — Type B,0,Aspen defoliators — Type B,0,0,0
18,Aspen Defoliators — Type C,0,Aspen defoliators — Type C,0,0,0
19,Aspen Defoliators — Type D,0,Aspen defoliators — Type D,0,0,0
20,Aspen Defoliators — Type E,0,Aspen defoliators — Type E,0,0,0
21,Aspen Defoliators — Type F,0,Aspen defoliators — Type F,0,0,0
130,Salvage logging after fire,0,Salvage logging on areas burned by fire.,1,0,0
131,Salvage logging after insects,0,Salvage logging on areas with significant insect mortality. Note that this salvage also involves clearcut of green wood as part of the salvage operation.,1,0,0
132,Eastern hemlock looper — Light defoliation,0,Eastern hemlock looper — Light defoliation 1,0,0,0
133,Eastern hemlock looper — Moderate defoliation,0,Eastern hemlock looper — Moderate defoliation 1,0,0,0
134,Eastern hemlock looper — Severe defoliation,0,Eastern hemlock looper — Severe defoliation 1,0,0,0
135,Eastern hemlock looper — Severe cumulative defoliation,0,Eastern hemlock looper — Severe cumulative defoliation 1,0,0,0
136,Mountain pine beetle — Low impact,0,Low impact (5% softwood mortality),0,0,0
137,Mountain pine beetle — Moderate impact,0,Moderate impact (10% softwood mortality),0,0,0
138,Mountain pine beetle — Very severe impact,0,Very severe impact (50% softwood mortality),0,0,0
139,Mountain pine beetle — Severe impact,0,Severe impact (30% softwood mortality),0,0,0
140,Spruce beetle — 20% mortality,0,Spruce beetle — 20% mortality 1,1,0,0
141,Spruce beetle — 10% mortality,0,Spruce beetle — 10% mortality 1,1,0,0
142,Spruce beetle — 2% mortality,0,Spruce beetle — 2% mortality 1,1,0,0
149,Deforestation — Hydro — Right-of-way — Salvage and burn,0,Deforestation — Hydro — Right-of-way — Salvage and burn 1,1,0,0
150,Deforestation — Hydro — Right-of-way — Salvage and decay,0,Deforestation — Hydro — Right-of-way — Salvage and decay 1,1,0,0
151,Deforestation — Hydro reservoir — Salvage and decay,0,Deforestation — Hydro reservoir — Salvage and decay 1,1,0,0
152,Deforestation — Hydro reservoir — No salvage or burn,0,Deforestation — Hydro reservoir — No salvage or burn 1,1,0,0
155,Deforestation — Oil and gas — Salvage and burn,0,Deforestation — Oil and gas — Salvage and burn 1,1,0,0
156,Deforestation — Oil and gas — Salvage and decay,0,Deforestation — Oil and gas — Salvage and decay 1,1,0,0
165,Generic 5% mortality,0,This disturbance type can be used to simulate a 5% reduction in biomass carbon.  The carbon removed from the biomass pool is transferred to the respective DOM pools.,0,0,0
166,Generic 10% mortality,0,This disturbance type can be used to simulate a 10% reduction in biomass carbon.  The carbon removed from the biomass pool is transferred to the respective DOM pools.,0,0,0
167,Generic 15% mortality,0,This disturbance type can be used to simulate a 15% reduction in biomass carbon.  The carbon removed from the biomass pool is transferred to the respective DOM pools.,0,0,0
168,Generic 20% mortality,0,This disturbance type can be used to simulate a 20% reduction in biomass carbon.  The carbon removed from the biomass pool is transferred to the respective DOM pools.,0,0,0
169,Generic 25% mortality,0,This disturbance type can be used to simulate a 25% reduction in biomass carbon.  The carbon removed from the biomass pool is transferred to the respective DOM pools.,0,0,0
170,Generic 30% mortality,0,This disturbance type can be used to simulate a 30% reduction in biomass carbon.  The carbon removed from the biomass pool is transferred to the respective DOM pools.,0,0,0
171,Generic 35% mortality,0,This disturbance type can be used to simulate a 35% reduction in biomass carbon.  The carbon removed from the biomass pool is transferred to the respective DOM pools.,0,0,0
172,Generic 40% mortality,0,This disturbance type can be used to simulate a 40% reduction in biomass carbon.  The carbon removed from the biomass pool is transferred to the respective DOM pools.,0,0,0
173,Generic 45% mortality,0,This disturbance type can be used to simulate a 45% reduction in biomass carbon.  The carbon removed from the biomass pool is transferred to the respective DOM pools.,0,0,0
174,Generic 50% mortality,0,This disturbance type can be used to simulate a 50% reduction in biomass carbon.  The carbon removed from the biomass pool is transferred to the respective DOM pools.,0,0,0
175,Generic 55% mortality,0,This disturbance type can be used to simulate a 55% reduction in biomass carbon.  The carbon removed from the biomass pool is transferred to the respective DOM pools.,0,0,0
176,Generic 60% mortality,0,This disturbance type can be used to simulate a 60% reduction in biomass carbon.  The carbon removed from the biomass pool is transferred to the respective DOM pools.,0,0,0
177,Generic 65% mortality,0,This disturbance type can be used to simulate a 65% reduction in biomass carbon.  The carbon removed from the biomass pool is transferred to the respective DOM pools.,0,0,0
178,Generic 70% mortality,0,This disturbance type can be used to simulate a 70% reduction in biomass carbon.  The carbon removed from the biomass pool is transferred to the respective DOM pools.,0,0,0
179,Generic 75% mortality,0,This disturbance type can be used to simulate a 75% reduction in biomass carbon.  The carbon removed from the biomass pool is transferred to the respective DOM pools.,0,0,0
180,Generic 80% mortality,0,This disturbance type can be used to simulate a 80% reduction in biomass carbon.  The carbon removed from the biomass pool is transferred to the respective DOM pools.,0,0,0
181,Generic 85% mortality,0,This disturbance type can be used to simulate a 85% reduction in biomass carbon.  The carbon removed from the biomass pool is transferred to the respective DOM pools.,0,0,0
182,Generic 90% mortality,0,This disturbance type can be used to simulate a 90% reduction in biomass carbon.  The carbon removed from the biomass pool is transferred to the respective DOM pools.,0,0,0
183,Generic 95% mortality,0,This disturbance type can be used to simulate a 95% reduction in biomass carbon.  The carbon removed from the biomass pool is transferred to the respective DOM pools.,0,0,0
184,25% commercial thinning,0,This disturbance type can be used to simulate a 25% reduction in biomass carbon and a transfer of the merchantable C to the forest product sector (FPS).  The remaining carbon removed from the biomass pools is transferred to the respective DOM pools.,0,0,0
